has,prefers,count
"BC018860|?_calculated_n","BC018860|?_calculated_n",0
"BC018860|?_calculated_n","STRF6|?_calculated_n",1
"BC018860|?_calculated_n","OK/SW-cl.16|?_calculated_n",1
"BC018860|?_calculated_n","cytochrome_b|?_calculated_n",1
"BC018860|?_calculated_n","JA040725|?_calculated_n",1
"BC018860|?_calculated_n","TVAS5|?_calculated_n",1
"BC018860|?_calculated_n","AD_1|?_calculated_n",1
"BC018860|?_calculated_n","JA040723|?_calculated_n",1
"BC018860|?_calculated_n","MT-ND5|4540_calculated_n",1
"BC018860|?_calculated_n","ACTB|60_calculated_n",1
"BC018860|?_calculated_n","DQ590013|?|1of2_calculated_n",1
"BC018860|?_calculated_n","MYL9|10398_calculated_n",1
"BC018860|?_calculated_n","DES|1674_calculated_n",1
"BC018860|?_calculated_n","ACTG2|72_calculated_n",1
"BC018860|?_calculated_n","DD181999|?_calculated_n",1
"BC018860|?_calculated_n","tRNA_Pro|?|1of20_calculated_n",1
"BC018860|?_calculated_n","RPLP1|6176_calculated_n",1
"BC018860|?_calculated_n","JA429504|?|1of4_calculated_n",1
"BC018860|?_calculated_n","PGC|5225_calculated_n",1
"BC018860|?_calculated_n","CD74|972_calculated_n",1
"BC018860|?_calculated_n","TMSB4X|7114_calculated_n",1
"BC018860|?_calculated_n","RPL27|6155_calculated_n",1
"BC018860|?_calculated_n","ACTG1|71_calculated_n",1
"BC018860|?_calculated_n","B2M|567_calculated_n",1
"BC018860|?_calculated_n","TPT1|7178_calculated_n",1
"BC018860|?_calculated_n","FTL|2512_calculated_n",1
"BC018860|?_calculated_n","GAPDH|2597_calculated_n",1
"BC018860|?_calculated_n","RPS11|6205_calculated_n",1
"BC018860|?_calculated_n","Metazoa_SRP|?|35of109_calculated_n",1
"BC018860|?_calculated_n","RPS6|6194_calculated_n",1
"BC018860|?_calculated_n","AF079515|?_calculated_n",1
"BC018860|?_calculated_n","MYH11|4629_calculated_n",1
"BC018860|?_calculated_n","FLNA|2316_calculated_n",1
"BC018860|?_calculated_n","DQ582201|?_calculated_n",1
"BC018860|?_calculated_n","LYZ|4069_calculated_n",1
"BC018860|?_calculated_n","TMSB10|9168_calculated_n",1
"BC018860|?_calculated_n","RPS8|6202_calculated_n",1
"BC018860|?_calculated_n","TAGLN|6876_calculated_n",1
"BC018860|?_calculated_n","IGHG1|3500_calculated_n",1
"BC018860|?_calculated_n","RPLP2|6181_calculated_n",1
"STRF6|?_calculated_n","BC018860|?_calculated_n",1
"STRF6|?_calculated_n","STRF6|?_calculated_n",0
"STRF6|?_calculated_n","OK/SW-cl.16|?_calculated_n",1
"STRF6|?_calculated_n","cytochrome_b|?_calculated_n",1
"STRF6|?_calculated_n","JA040725|?_calculated_n",1
"STRF6|?_calculated_n","TVAS5|?_calculated_n",1
"STRF6|?_calculated_n","AD_1|?_calculated_n",1
"STRF6|?_calculated_n","JA040723|?_calculated_n",1
"STRF6|?_calculated_n","MT-ND5|4540_calculated_n",1
"STRF6|?_calculated_n","ACTB|60_calculated_n",1
"STRF6|?_calculated_n","DQ590013|?|1of2_calculated_n",1
"STRF6|?_calculated_n","MYL9|10398_calculated_n",1
"STRF6|?_calculated_n","DES|1674_calculated_n",1
"STRF6|?_calculated_n","ACTG2|72_calculated_n",1
"STRF6|?_calculated_n","DD181999|?_calculated_n",1
"STRF6|?_calculated_n","tRNA_Pro|?|1of20_calculated_n",1
"STRF6|?_calculated_n","RPLP1|6176_calculated_n",1
"STRF6|?_calculated_n","JA429504|?|1of4_calculated_n",1
"STRF6|?_calculated_n","PGC|5225_calculated_n",1
"STRF6|?_calculated_n","CD74|972_calculated_n",1
"STRF6|?_calculated_n","TMSB4X|7114_calculated_n",1
"STRF6|?_calculated_n","RPL27|6155_calculated_n",1
"STRF6|?_calculated_n","ACTG1|71_calculated_n",1
"STRF6|?_calculated_n","B2M|567_calculated_n",1
"STRF6|?_calculated_n","TPT1|7178_calculated_n",1
"STRF6|?_calculated_n","FTL|2512_calculated_n",1
"STRF6|?_calculated_n","GAPDH|2597_calculated_n",1
"STRF6|?_calculated_n","RPS11|6205_calculated_n",1
"STRF6|?_calculated_n","Metazoa_SRP|?|35of109_calculated_n",1
"STRF6|?_calculated_n","RPS6|6194_calculated_n",1
"STRF6|?_calculated_n","AF079515|?_calculated_n",1
"STRF6|?_calculated_n","MYH11|4629_calculated_n",1
"STRF6|?_calculated_n","FLNA|2316_calculated_n",1
"STRF6|?_calculated_n","DQ582201|?_calculated_n",1
"STRF6|?_calculated_n","LYZ|4069_calculated_n",1
"STRF6|?_calculated_n","TMSB10|9168_calculated_n",1
"STRF6|?_calculated_n","RPS8|6202_calculated_n",1
"STRF6|?_calculated_n","TAGLN|6876_calculated_n",1
"STRF6|?_calculated_n","IGHG1|3500_calculated_n",1
"STRF6|?_calculated_n","RPLP2|6181_calculated_n",1
"OK/SW-cl.16|?_calculated_n","BC018860|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","STRF6|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","OK/SW-cl.16|?_calculated_n",0
"OK/SW-cl.16|?_calculated_n","cytochrome_b|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","JA040725|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","TVAS5|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","AD_1|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","JA040723|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","MT-ND5|4540_calculated_n",1
"OK/SW-cl.16|?_calculated_n","ACTB|60_calculated_n",1
"OK/SW-cl.16|?_calculated_n","DQ590013|?|1of2_calculated_n",1
"OK/SW-cl.16|?_calculated_n","MYL9|10398_calculated_n",1
"OK/SW-cl.16|?_calculated_n","DES|1674_calculated_n",1
"OK/SW-cl.16|?_calculated_n","ACTG2|72_calculated_n",1
"OK/SW-cl.16|?_calculated_n","DD181999|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","tRNA_Pro|?|1of20_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPLP1|6176_calculated_n",1
"OK/SW-cl.16|?_calculated_n","JA429504|?|1of4_calculated_n",1
"OK/SW-cl.16|?_calculated_n","PGC|5225_calculated_n",1
"OK/SW-cl.16|?_calculated_n","CD74|972_calculated_n",1
"OK/SW-cl.16|?_calculated_n","TMSB4X|7114_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPL27|6155_calculated_n",1
"OK/SW-cl.16|?_calculated_n","ACTG1|71_calculated_n",1
"OK/SW-cl.16|?_calculated_n","B2M|567_calculated_n",1
"OK/SW-cl.16|?_calculated_n","TPT1|7178_calculated_n",1
"OK/SW-cl.16|?_calculated_n","FTL|2512_calculated_n",1
"OK/SW-cl.16|?_calculated_n","GAPDH|2597_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPS11|6205_calculated_n",1
"OK/SW-cl.16|?_calculated_n","Metazoa_SRP|?|35of109_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPS6|6194_calculated_n",1
"OK/SW-cl.16|?_calculated_n","AF079515|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","MYH11|4629_calculated_n",1
"OK/SW-cl.16|?_calculated_n","FLNA|2316_calculated_n",1
"OK/SW-cl.16|?_calculated_n","DQ582201|?_calculated_n",1
"OK/SW-cl.16|?_calculated_n","LYZ|4069_calculated_n",1
"OK/SW-cl.16|?_calculated_n","TMSB10|9168_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPS8|6202_calculated_n",1
"OK/SW-cl.16|?_calculated_n","TAGLN|6876_calculated_n",1
"OK/SW-cl.16|?_calculated_n","IGHG1|3500_calculated_n",1
"OK/SW-cl.16|?_calculated_n","RPLP2|6181_calculated_n",1
"cytochrome_b|?_calculated_n","BC018860|?_calculated_n",1
"cytochrome_b|?_calculated_n","STRF6|?_calculated_n",1
"cytochrome_b|?_calculated_n","OK/SW-cl.16|?_calculated_n",1
"cytochrome_b|?_calculated_n","cytochrome_b|?_calculated_n",0
"cytochrome_b|?_calculated_n","JA040725|?_calculated_n",1
"cytochrome_b|?_calculated_n","TVAS5|?_calculated_n",1
"cytochrome_b|?_calculated_n","AD_1|?_calculated_n",1
"cytochrome_b|?_calculated_n","JA040723|?_calculated_n",1
"cytochrome_b|?_calculated_n","MT-ND5|4540_calculated_n",1
"cytochrome_b|?_calculated_n","ACTB|60_calculated_n",1
"cytochrome_b|?_calculated_n","DQ590013|?|1of2_calculated_n",1
"cytochrome_b|?_calculated_n","MYL9|10398_calculated_n",1
"cytochrome_b|?_calculated_n","DES|1674_calculated_n",1
"cytochrome_b|?_calculated_n","ACTG2|72_calculated_n",1
"cytochrome_b|?_calculated_n","DD181999|?_calculated_n",1
"cytochrome_b|?_calculated_n","tRNA_Pro|?|1of20_calculated_n",1
"cytochrome_b|?_calculated_n","RPLP1|6176_calculated_n",1
"cytochrome_b|?_calculated_n","JA429504|?|1of4_calculated_n",1
"cytochrome_b|?_calculated_n","PGC|5225_calculated_n",1
"cytochrome_b|?_calculated_n","CD74|972_calculated_n",1
"cytochrome_b|?_calculated_n","TMSB4X|7114_calculated_n",1
"cytochrome_b|?_calculated_n","RPL27|6155_calculated_n",1
"cytochrome_b|?_calculated_n","ACTG1|71_calculated_n",1
"cytochrome_b|?_calculated_n","B2M|567_calculated_n",1
"cytochrome_b|?_calculated_n","TPT1|7178_calculated_n",1
"cytochrome_b|?_calculated_n","FTL|2512_calculated_n",1
"cytochrome_b|?_calculated_n","GAPDH|2597_calculated_n",1
"cytochrome_b|?_calculated_n","RPS11|6205_calculated_n",1
"cytochrome_b|?_calculated_n","Metazoa_SRP|?|35of109_calculated_n",1
"cytochrome_b|?_calculated_n","RPS6|6194_calculated_n",1
"cytochrome_b|?_calculated_n","AF079515|?_calculated_n",1
"cytochrome_b|?_calculated_n","MYH11|4629_calculated_n",1
"cytochrome_b|?_calculated_n","FLNA|2316_calculated_n",1
"cytochrome_b|?_calculated_n","DQ582201|?_calculated_n",1
"cytochrome_b|?_calculated_n","LYZ|4069_calculated_n",1
"cytochrome_b|?_calculated_n","TMSB10|9168_calculated_n",1
"cytochrome_b|?_calculated_n","RPS8|6202_calculated_n",1
"cytochrome_b|?_calculated_n","TAGLN|6876_calculated_n",1
"cytochrome_b|?_calculated_n","IGHG1|3500_calculated_n",1
