gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
MAGI3|260425_calculated,4.078,3.9525,1,p,12-
NHLH2|4808_calculated,0.084,0.1089,1,p,12-
HMGCS2|3158_calculated,39.4131,50.4688,1,p,13-
NOTCH2|4853_calculated,17.4417,10.4838,1,p,13-
PHTF1|10745_calculated,2.0144,2.1831,1,p,13-
SYCP1|6847_calculated,0.0047,0.0079,1,p,13-
REG4|83998_calculated,131.0064,255.4325,1,p,13.1-
DENND2C|163259_calculated,2.4966,2.9253,1,p,13.2-
NTNG1|22854_calculated,0.2154,0.0649,1,p,13.2-
HAO2|51179_calculated,0.0227,0.0535,1,p,13.3-
DDX20|11218_calculated,3.0726,3.4118,1,p,21.1-
CNN3|1266_calculated,71.1853,44.4261,1,p,22-
F3|2152_calculated,21.6031,20.9136,1,p,22-
GTF2B|2959_calculated,13.5899,16.9493,1,p,22-
PALMD|54873_calculated,7.3996,3.3367,1,p,22-
COL24A1|255631_calculated,0.3866,0.1661,1,p,22.3-
CLCA4|22802_calculated,0.6526,10.1868,1,p,31-
CLCA3P|9629_calculated,0.027,0.0515,1,p,31-
NFIA|4774_calculated,21.4941,6.8964,1,p,31.3-
CYP2J2|1573_calculated,3.7094,8.2326,1,p,31.3-
IL12RB2|3595_calculated,0.4603,0.5396,1,p,31.3-
JUN|3725_calculated,131.2965,78.6709,1,p,32-
MACF1|23499|2of2_calculated,17.103,6.9579,1,p,32-
VCAM1|7412_calculated,15.0486,9.0203,1,p,32-
ROR1|4919_calculated,6.4683,2.7473,1,p,32-
SLC35D1|23169_calculated,5.1542,5.945,1,p,32-
RAB3B|5865_calculated,1.4377,1.122,1,p,32-
DAB1|1600_calculated,0.828,1.0696,1,p,32-
MACF1|23499|1of2_calculated,0.1375,0.0311,1,p,32-
NRD1|4898_calculated,13.9732,15.3431,1,p,32.2-
OMA1|115209_calculated,5.3204,5.9019,1,p,32.2-
JAK1|3716_calculated,24.4777,19.98,1,p,32.3-
ANKRD13C|81573_calculated,4.3538,3.9608,1,p,32.3-
AKR1A1|10327_calculated,27.1273,46.0534,1,p,33-
TGFBR3|7049_calculated,15.8164,4.1645,1,p,33-
FABP3|2170_calculated,12.655,7.4948,1,p,33-
YIPF1|54432_calculated,11.7404,15.201,1,p,33-
ATPAF1|64756_calculated,10.3733,9.4593,1,p,33-
ELTD1|64123_calculated,9.7456,5.3871,1,p,33-
LRRC42|115353_calculated,9.6398,14.7873,1,p,33-
MYCBP|26292_calculated,9.5161,14.3685,1,p,33-
EPB41|2035_calculated,9.4072,10.7547,1,p,33-
COL9A2|1298_calculated,2.1285,4.8295,1,p,33-
ARTN|9048_calculated,0.4792,0.773,1,p,33-
BEST4|266675_calculated,0.2722,0.7423,1,p,33-
DIO1|1733_calculated,0.1347,0.4882,1,p,33-
B4GALT2|8704_calculated,21.2389,23.9836,1,p,34-
ZMYM4|9202_calculated,8.1203,7.2805,1,p,34-
TIE1|7075_calculated,6.8228,3.7317,1,p,34-
IPP|3652_calculated,5.552,4.4819,1,p,34-
