gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
ARFGAP2|84364_calculated,18.6759,19.8576,11,p,11.2-
EXT2|2132_calculated,16.705,17.4233,11,p,12-
SPI1|6688_calculated,15.9882,18.7662,11,p,12-
SYT13|57586_calculated,12.5089,14.2483,11,p,12-
PACSIN3|29763_calculated,12.1323,12.3922,11,p,12-
DDB2|1643_calculated,7.4078,8.2212,11,p,12-
CHRM4|1132_calculated,0.7549,0.4579,11,p,12-
PRR5L|79899_calculated,2.829,2.9536,11,p,13-
SLC1A2|6506_calculated,0.5791,0.2251,11,p,13-
ELF5|2001_calculated,0.3072,0.5579,11,p,13-
LGR4|55366_calculated,16.619,22.2073,11,p,14-
CALCB|797_calculated,0.0478,0.0228,11,p,14.2-
GTF2H1|2965_calculated,9.9539,10.5943,11,p,15.1-
TPH1|7166_calculated,9.3996,0.5731,11,p,15.3-
PTH|5741_calculated,0.0108,0.0282,11,p,15.3-
SMPD1|6609_calculated,15.3821,13.2825,11,p,15.4-
TAF10|6881_calculated,68.884,100.6338,11,p,15.5-
TALDO1|6888_calculated,58.2891,100.8113,11,p,15.5-
RHOG|391_calculated,57.4892,69.2648,11,p,15.5-
MRPL17|63875_calculated,13.0349,20.4022,11,p,15.5-
PIK3C2A|5286_calculated,12.9979,10.4896,11,p,15.5-
TRIM21|6737_calculated,12.0321,15.1105,11,p,15.5-
HPX|3263_calculated,0.1484,0.1807,11,p,15.5-
RPLP2|6181_calculated,1059.1503,1336.7259,11,p,
IFITM3|10410_calculated,946.7479,944.2546,11,p,
RPS13|6207_calculated,559.2965,653.2201,11,p,
CTSD|1509_calculated,395.4785,637.7299,11,p,
CD81|975_calculated,361.1637,234.3025,11,p,
IFITM1|8519_calculated,268.7481,413.7493,11,p,
IFITM2|10581_calculated,261.993,212.2222,11,p,
LDHA|3939_calculated,206.9917,349.2906,11,p,
EIF4G2|1982_calculated,196.983,187.1458,11,p,
CD151|977_calculated,193.2875,185.8124,11,p,
C11orf96|387763_calculated,155.3643,47.9039,11,p,
IGF2|3481_calculated,137.7278,113.5612,11,p,
ILK|3611_calculated,128.1953,57.8788,11,p,
H19|283120_calculated,115.3182,219.5953,11,p,
CD44|960_calculated,113.7837,61.0674,11,p,
MUC5AC|4586_calculated,95.7127,210.699,11,p,
