gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
BICD1|636_calculated,2.684,2.4275,12,p,11.2-
PTHLH|5744_calculated,1.7362,0.9769,12,p,12.1-
ST8SIA1|6489_calculated,0.9134,0.2545,12,p,12.1-
LDHB|3945_calculated,104.1779,99.9008,12,p,12.2-
ARNTL2|56938_calculated,5.3815,7.2044,12,p,12.2-
GYS2|2998_calculated,0.0611,0.2614,12,p,12.2-
MGST1|4257_calculated,30.477,62.902,12,p,12.3-
GPRC5A|9052_calculated,74.6081,151.7444,12,p,13-
CLEC2B|9976_calculated,8.1897,4.8797,12,p,13-
BCL2L14|79370_calculated,3.87,6.5631,12,p,13-
RAD52|5893_calculated,2.3657,1.614,12,p,13-
PTPRO|5800_calculated,0.7046,1.387,12,p,13-
PZP|5858_calculated,0.0848,0.0274,12,p,13-
CDKN1B|1027_calculated,27.7589,23.8223,12,p,13.1-
MFAP5|8076_calculated,19.9154,6.3491,12,p,13.1-
OLR1|4973_calculated,2.4694,2.8832,12,p,13.1-
KLRK1|22914_calculated,2.7183,1.897,12,p,13.2-
RAD51AP1|10635_calculated,2.6367,6.3573,12,p,13.2-
CLEC7A|64581_calculated,2.6117,2.7307,12,p,13.2-
KLRC4|8302_calculated,0.5094,0.4693,12,p,13.2-
CLEC4C|170482_calculated,0.141,0.0577,12,p,13.2-
MRPL51|51258_calculated,61.3681,84.3053,12,p,13.3-
TEAD4|7004_calculated,8.6808,13.2225,12,p,13.3-
TSPAN9|10867_calculated,12.3629,8.7567,12,p,13.33-
GAPDH|2597_calculated,1375.8034,2569.6558,12,p,
MGP|4256_calculated,487.5663,102.2527,12,p,
A2M|2_calculated,356.0327,134.8707,12,p,
ATP5B|506_calculated,228.6972,389.1488,12,p,
PTMS|5763_calculated,214.7835,169.9657,12,p,
C1R|715_calculated,172.2971,74.9921,12,p,
C1S|716_calculated,140.076,64.6227,12,p,
ARHGDIB|397_calculated,103.2753,93.3019,12,p,
TPI1|7167_calculated,100.294,205.0474,12,p,
CD9|928_calculated,100.0413,108.1205,12,p,
PHB2|11331_calculated,98.2976,148.4872,12,p,
MLF2|8079_calculated,66.5839,95.0331,12,p,
EMP1|2012_calculated,56.081,82.5132,12,p,
C12orf57|113246_calculated,52.6842,47.3975,12,p,
LTBR|4055_calculated,47.9601,72.9547,12,p,
ATN1|1822_calculated,46.9086,33.6367,12,p,
TNFRSF1A|7132_calculated,44.6051,45.5472,12,p,
PLBD1|79887_calculated,40.2404,65.7859,12,p,
CHD4|1108_calculated,39.6601,38.5677,12,p,
LPCAT3|10162_calculated,39.2074,56.4439,12,p,
STRAP|11171_calculated,38.6274,52.0476,12,p,
MRPS35|60488_calculated,37.032,51.5874,12,p,
CCND2|894_calculated,36.6166,19.5367,12,p,
MIR614|693199_calculated,35.9365,55.4587,12,p,
VWF|7450_calculated,33.2346,17.7526,12,p,
WBP11|51729_calculated,29.0976,34.8321,12,p,
MANSC1|54682_calculated,27.4551,33.3141,12,p,
HEBP1|50865_calculated,26.8678,29.753,12,p,
WNK1|65125_calculated,26.5796,22.2248,12,p,
LYRM5|144363_calculated,25.3419,15.65,12,p,
NDUFA9|4704_calculated,24.9594,38.6516,12,p,
SCNN1A|6337_calculated,24.2464,34.0566,12,p,
EPS8|2059_calculated,23.9384,27.0619,12,p,
COPS7A|50813_calculated,23.3944,25.5995,12,p,
FKBP4|2288_calculated,23.323,45.9724,12,p,
USP5|8078_calculated,23.0195,28.6213,12,p,
M6PR|4074_calculated,22.9854,29.5779,12,p,
GABARAPL1|23710_calculated,22.6006,10.8753,12,p,
ERGIC2|51290_calculated,21.0864,21.5925,12,p,
MED21|9412_calculated,20.3799,17.2882,12,p,
RERG|85004_calculated,19.5961,2.8546,12,p,
CREBL2|1389_calculated,18.9435,12.9893,12,p,
NCAPD2|9918_calculated,18.2982,30.6084,12,p,
DNM1L|10059_calculated,17.6539,16.5712,12,p,
SSPN|8082_calculated,17.4588,5.0326,12,p,
CD4|920_calculated,17.3592,16.2216,12,p,
C1RL|51279_calculated,16.9188,10.4848,12,p,
PTPN6|5777_calculated,16.5547,20.2242,12,p,
ADIPOR2|79602_calculated,16.3783,21.3028,12,p,
ZNF384|171017_calculated,16.3337,18.2686,12,p,
CMAS|55907_calculated,16.2707,24.02,12,p,
KRAS|3845_calculated,16.2536,18.2482,12,p,
STK38L|23012_calculated,15.8195,12.8351,12,p,
ETV6|2120_calculated,14.8514,13.3388,12,p,
PKP2|5318_calculated,14.3918,23.5124,12,p,
TAPBPL|55080_calculated,14.0281,17.1588,12,p,
BHLHE41|79365_calculated,13.5414,8.2358,12,p,
RECQL|5965_calculated,13.3143,11.3378,12,p,
CD27|939_calculated,12.8427,13.5779,12,p,
APOLD1|81575_calculated,12.8003,6.0516,12,p,
TULP3|7289_calculated,12.5087,9.6145,12,p,
FAM60A|58516_calculated,12.3779,21.8448,12,p,
SLC2A3|6515_calculated,12.3646,9.3044,12,p,
ENO2|2026_calculated,12.0908,8.4341,12,p,
ETNK1|55500_calculated,12.0223,15.2277,12,p,
GOLT1B|51026_calculated,11.9022,12.5537,12,p,
CLSTN3|9746_calculated,11.8697,8.2952,12,p,
FBXL14|144699_calculated,11.5347,15.1023,12,p,
ING4|51147_calculated,11.5226,9.4133,12,p,
EMG1|10436_calculated,11.4856,16.7454,12,p,
H2AFJ|55766_calculated,11.2609,14.3738,12,p,
FGFR1OP2|26127_calculated,11.0711,9.3151,12,p,
FOXM1|2305_calculated,10.8518,28.6254,12,p,
PDE3A|5139_calculated,10.8153,2.24,12,p,
DDX47|51202_calculated,10.7836,13.8352,12,p,
DERA|51071_calculated,10.7824,15.7171,12,p,
NOP2|4839_calculated,10.7099,19.2367,12,p,
PPFIBP1|8496_calculated,10.5333,7.1697,12,p,
ATF7IP|55729_calculated,10.5095,8.1237,12,p,
ERC1|23085_calculated,10.3819,6.5344,12,p,
IPO8|10526_calculated,10.1548,9.8914,12,p,
PYROXD1|79912_calculated,10.0434,9.181,12,p,
DCP1B|196513_calculated,10.0055,7.1318,12,p,
KCNJ8|3764_calculated,9.8301,3.0717,12,p,
C3AR1|719_calculated,9.6301,8.3206,12,p,
NECAP1|25977_calculated,9.3169,12.5326,12,p,
CD163|9332_calculated,8.8685,7.3426,12,p,
DYRK4|8798_calculated,8.7825,7.5028,12,p,
DUSP16|80824_calculated,8.7531,10.2123,12,p,
CCDC91|55297_calculated,8.5414,6.0484,12,p,
FOXJ2|55810_calculated,8.3579,5.9885,12,p,
ASUN|55726_calculated,8.2549,10.9628,12,p,
PEX5|5830_calculated,8.0136,8.4974,12,p,
AEBP2|121536_calculated,7.9269,6.5522,12,p,
KLRB1|3820_calculated,7.566,6.4738,12,p,
B4GALNT3|283358_calculated,7.3098,11.7516,12,p,
KDM5A|5927_calculated,7.242,6.4771,12,p,
GUCY2C|2984_calculated,7.1781,10.0396,12,p,
PLEKHA5|54477_calculated,6.8945,4.7764,12,p,
ITFG2|55846_calculated,6.8935,6.6969,12,p,
ABCC9|10060_calculated,6.6909,1.0119,12,p,
RASSF8|11228_calculated,6.6184,2.1183,12,p,
CD27-AS1|678655_calculated,6.3146,4.8913,12,p,
LPAR5|57121_calculated,6.1872,8.7003,12,p,
PLEKHG6|55200_calculated,6.1776,12.9276,12,p,
FAR2|55711_calculated,6.1614,8.3373,12,p,
YARS2|51067_calculated,5.9872,9.476,12,p,
CACNA1C|775|2of2_calculated,5.9531,1.0234,12,p,
LRP6|4040_calculated,5.829,4.7874,12,p,
RBP5|83758_calculated,5.7931,2.9069,12,p,
TMTC1|83857_calculated,5.4262,1.5059,12,p,
