gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
GJB2|2706_calculated,12.8352,40.8445,13,q,11-
LATS2|26524_calculated,10.7478,6.402,13,q,11-
ZMYM2|7750_calculated,5.8231,5.3112,13,q,11-
FGF9|2254_calculated,0.5365,0.4953,13,q,11-
ATP12A|479_calculated,0.0145,0.1799,13,q,11-
UBL3|5412_calculated,19.0701,16.7408,13,q,12-
EBPL|84650_calculated,16.2804,26.5843,13,q,12-
SMAD9|4093_calculated,8.1672,2.0466,13,q,12-
USPL1|10208_calculated,3.0155,2.539,13,q,12-
BRCA2|675_calculated,1.0986,1.76,13,q,12-
SGCG|6445_calculated,0.3951,0.1084,13,q,12-
PABPC3|5042_calculated,0.0671,0.0865,13,q,12-
TNFRSF19|55504_calculated,2.1203,3.4092,13,q,12.11-
TPTE2P1|646405_calculated,0.1337,0.0822,13,q,12.12-
HSPH1|10808_calculated,21.7717,30.2903,13,q,12.2-
SUCLA2|8803_calculated,12.9686,14.8588,13,q,12.2-
UTP14C|9724_calculated,5.2556,4.8031,13,q,12.2-
GTF3A|2971_calculated,37.7578,48.338,13,q,12.3-
CCNA1|8900_calculated,0.1127,0.0647,13,q,12.3-
MLNR|2862_calculated,2.0799,0.1478,13,q,14-
HTR2A|3356_calculated,0.9931,0.2249,13,q,14-
ESD|2098_calculated,27.9871,23.4537,13,q,14.1-
MTRF1|9617_calculated,2.3318,2.6644,13,q,14.1-
KCTD4|386618_calculated,0.1172,0.0339,13,q,14.12-
NEK3|4752_calculated,2.8987,3.4216,13,q,14.2-
CLN5|1203_calculated,9.0743,8.3573,13,q,21.2-
SOX21|11166_calculated,1.8457,4.8759,13,q,31-
CLDN10|9071_calculated,0.5082,1.2046,13,q,31-
STK24|8428_calculated,35.9248,50.9178,13,q,31.2-
TPP2|7174_calculated,11.2526,12.0194,13,q,32-
TNFSF13B|10673_calculated,7.5237,6.7632,13,q,32-
LIG4|3981_calculated,3.9303,3.3095,13,q,33-
TPT1|7178_calculated,1405.2412,1513.0518,13,q,
ITM2B|9445_calculated,421.6829,400.4403,13,q,
OLFM4|10562_calculated,364.565,782.1145,13,q,
COL4A2|1284_calculated,174.3541,92.0083,13,q,
LAMP1|3916_calculated,126.362,144.6255,13,q,
COL4A1|1282_calculated,124.8685,87.4087,13,q,
POSTN|10631_calculated,84.9564,71.4458,13,q,
TM9SF2|9375_calculated,79.1389,107.9552,13,q,
KLF5|688_calculated,66.9069,121.1282,13,q,
POMP|51371_calculated,58.6511,79.8574,13,q,
SAP18|10284_calculated,58.0146,69.9821,13,q,
KCTD12|115207_calculated,55.6315,25.7092,13,q,
GAS6|2621_calculated,46.7994,28.8101,13,q,
COMMD6|170622_calculated,42.1798,31.5516,13,q,
TSC22D1|8848_calculated,37.0294,27.9523,13,q,
LCP1|3936_calculated,36.7434,31.586,13,q,
LHFP|10186_calculated,35.9608,12.367,13,q,
HMGB1|3146_calculated,28.1087,33.8078,13,q,
POLR1D|51082_calculated,27.1262,29.4052,13,q,
ELF1|1997_calculated,25.8959,26.5085,13,q,
MBNL2|10150_calculated,25.4041,16.1586,13,q,
IPO5|3843_calculated,24.6863,27.4197,13,q,
PARP4|143_calculated,24.5201,27.1184,13,q,
IRS2|8660_calculated,23.675,16.1662,13,q,
TFDP1|7027_calculated,23.1231,39.1318,13,q,
DNAJC15|29103_calculated,22.28,31.2249,13,q,
RGCC|28984_calculated,21.4242,18.4873,13,q,
EFNB2|1948_calculated,21.3921,22.2296,13,q,
UCHL3|7347_calculated,21.2375,34.558,13,q,
SUGT1|10910_calculated,21.0414,26.7383,13,q,
ARGLU1|55082_calculated,20.7511,18.7925,13,q,
ZDHHC20|253832_calculated,20.2103,27.2688,13,q,
ZC3H13|23091_calculated,19.9569,13.7301,13,q,
MPHOSPH8|54737_calculated,19.7633,13.721,13,q,
ATP4B|496_calculated,19.1662,42.9504,13,q,
RB1|5925_calculated,18.7729,19.4053,13,q,
EPSTI1|94240_calculated,18.3734,26.5308,13,q,
ALG5|29880_calculated,18.26,25.4838,13,q,
FARP1|10160_calculated,18.1609,12.3359,13,q,
MED4|29079_calculated,18.0515,20.0783,13,q,
FBXL3|26224_calculated,18.0404,14.5605,13,q,
ALOX5AP|241_calculated,17.1405,20.7051,13,q,
MTIF3|219402_calculated,17.1077,17.2604,13,q,
CDC16|8881_calculated,16.7632,17.7377,13,q,
RAB20|55647_calculated,15.9295,23.271,13,q,
KPNA3|3839_calculated,15.927,14.7573,13,q,
FNDC3A|22862_calculated,15.7152,13.786,13,q,
GPR183|1880_calculated,15.6869,7.9517,13,q,
UFM1|51569_calculated,15.4624,18.8453,13,q,
UBAC2|337867_calculated,14.6732,20.4068,13,q,
SLC7A1|6541_calculated,14.5774,23.9923,13,q,
TMCO3|55002_calculated,14.4954,16.8609,13,q,
GTF2F2|2963_calculated,14.3633,17.0425,13,q,
ITGBL1|9358_calculated,14.2674,5.2307,13,q,
CRYL1|51084_calculated,13.8795,18.8005,13,q,
VPS36|51028_calculated,13.7826,13.3581,13,q,
USP12|219333_calculated,13.7268,8.9974,13,q,
CDX2|1045_calculated,13.6787,21.2409,13,q,
CUL4A|8451_calculated,13.3413,16.0939,13,q,
CARS2|79587_calculated,13.2766,16.8845,13,q,
CARKD|55739_calculated,13.0473,11.3285,13,q,
PROSER1|80209_calculated,12.882,18.3629,13,q,
ANKRD10|55608_calculated,12.8736,9.3472,13,q,
WBP4|11193_calculated,12.3106,9.4712,13,q,
ATP11A|23250_calculated,12.2085,17.8699,13,q,
EXOSC8|11340_calculated,11.8158,16.5094,13,q,
SPRY2|10253_calculated,11.7959,12.1886,13,q,
DNAJC3|5611_calculated,11.3317,12.66,13,q,
MRPS31|10240_calculated,11.2005,13.0672,13,q,
PHF11|51131_calculated,11.1988,9.6466,13,q,
CAB39L|81617_calculated,11.1038,3.4398,13,q,
PSPC1|55269_calculated,10.97,15.6582,13,q,
NDFIP2|54602_calculated,10.9302,17.679,13,q,
AKAP11|11215_calculated,10.8678,7.2894,13,q,
CHAMP1|283489_calculated,10.739,11.8466,13,q,
RAP2A|5911_calculated,10.4138,10.3147,13,q,
ATP5EP2|432369_calculated,10.3964,14.6279,13,q,
RNF6|6049_calculated,10.2917,12.7573,13,q,
RNASEH2B|79621_calculated,10.0929,10.8615,13,q,
RASL11A|387496_calculated,10.0001,8.2623,13,q,
LMO7|4008_calculated,9.9584,17.7363,13,q,
