gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
OR4Q3|441669_calculated,0.0048,0.0043,14,p,
MMP14|4323_calculated,86.7576,93.0176,14,q,11-
FOXG1|2290_calculated,0.0186,0.0354,14,q,11-
ANG|283_calculated,16.9648,25.8384,14,q,11.1-
SALL2|6297_calculated,4.3554,0.8855,14,q,11.1-
NRL|4901_calculated,0.8148,0.9314,14,q,11.1-
REC8|9985_calculated,8.4068,14.2649,14,q,11.2-
MAP4K5|11183_calculated,6.8149,5.711,14,q,11.2-
PYGL|5836_calculated,6.4771,6.3798,14,q,11.2-
PARP2|10038_calculated,5.8182,7.2059,14,q,11.2-
EFS|10278_calculated,5.1348,2.1029,14,q,11.2-
COCH|1690_calculated,2.0184,3.5604,14,q,11.2-
LTB4R|1241_calculated,1.3088,1.5402,14,q,11.2-
LRRC16B|90668_calculated,0.3919,0.4154,14,q,11.2-
MYH7|4625_calculated,0.0114,0.0364,14,q,11.2-
MYH6|4624_calculated,0.0073,0.0108,14,q,11.2-
FOXA1|3169_calculated,10.3081,23.1002,14,q,12-
SAV1|60485_calculated,12.6835,11.1118,14,q,13-
STRN3|29966_calculated,9.441,6.3916,14,q,13-
NIN|51199_calculated,5.8238,3.0126,14,q,21-
RTN1|6252_calculated,2.8068,1.4637,14,q,21-
POLE2|5427_calculated,1.8735,4.0051,14,q,21-
ESR2|2100_calculated,0.2223,0.1984,14,q,21-
ZFP36L1|677_calculated,158.3494,102.163,14,q,22-
BMP4|652_calculated,18.8849,21.0861,14,q,22-
SNW1|22938_calculated,20.6531,23.1908,14,q,22.1-
SYNE2|23224_calculated,7.2789,8.0635,14,q,22.1-
GCH1|2643_calculated,4.6996,6.5744,14,q,22.1-
TIMM9|26520_calculated,19.2807,21.2003,14,q,22.3-
ATP6V1D|51382_calculated,21.1783,25.1911,14,q,23-
DCAF5|8816_calculated,9.0034,6.6573,14,q,23-
ZBTB25|7597_calculated,5.0421,4.3913,14,q,23-
RAD51B|5890_calculated,0.7427,0.852,14,q,23-
TMEM229B|161145_calculated,3.1309,4.179,14,q,23.3-
FLRT2|23768_calculated,7.1041,1.4634,14,q,24-
TSHR|7253_calculated,0.1173,0.0937,14,q,24-
PTGR2|145482_calculated,3.4881,4.4807,14,q,24.1-
SPTB|6710_calculated,0.6277,0.4644,14,q,24.1-
DIO2|1734_calculated,11.567,5.7783,14,q,24.2-
ASB2|51676_calculated,14.7238,2.0497,14,q,31-
TRIP11|9321_calculated,6.3559,5.2347,14,q,31-
RPS6KA5|9252_calculated,3.9557,2.0897,14,q,31-
GPR65|8477_calculated,1.573,1.0479,14,q,31-
PAPOLA|10914_calculated,24.1121,27.1062,14,q,32.1-
BDKRB1|623_calculated,4.2968,1.9779,14,q,32.1-
BDKRB2|624_calculated,4.0827,3.0501,14,q,32.1-
OTUB2|78990_calculated,0.955,1.7512,14,q,32.13-
IGHG1|3500_calculated,1094.4839,1420.2366,14,q,
RPS29|6235_calculated,437.953,455.4417,14,q,
LGALS3|3958_calculated,271.9704,438.3967,14,q,
RPL36AL|6166_calculated,241.4097,249.1528,14,q,
CKB|1152_calculated,240.766,70.0842,14,q,
IFI27|3429_calculated,232.5494,470.8596,14,q,
FOS|2353_calculated,203.096,145.5571,14,q,
RNASE1|6035_calculated,200.8888,308.8851,14,q,
GPX2|2877_calculated,185.2177,384.4861,14,q,
CRIP1|1396_calculated,175.2346,222.6877,14,q,
HSP90AA1|3320_calculated,173.2894,243.5406,14,q,
NPC2|10577_calculated,148.5568,168.676,14,q,
CALM1|801_calculated,146.1803,99.3566,14,q,
ACTN1|87_calculated,137.7171,47.8429,14,q,
DAD1|1603_calculated,129.0233,176.789,14,q,
IGHE|3497_calculated,123.6777,137.8294,14,q,
CHGA|1113_calculated,112.5736,42.5724,14,q,
RPPH1|85495_calculated,104.8887,97.7733,14,q,
PSME1|5720_calculated,104.475,155.7362,14,q,
NFKBIA|4792_calculated,97.3332,83.4188,14,q,
C14orf166|51637_calculated,86.2836,87.3243,14,q,
LRP10|26020_calculated,80.0431,87.4188,14,q,
ERH|2079_calculated,79.6934,106.5274,14,q,
PSME2|5721_calculated,78.8364,162.4443,14,q,
SLIRP|81892_calculated,69.8562,97.5305,14,q,
LGMN|5641_calculated,66.5156,78.1317,14,q,
FERMT2|10979_calculated,65.4652,11.3155,14,q,
APEX1|328_calculated,65.2126,96.5887,14,q,
TMED10|10972_calculated,63.541,75.1542,14,q,
WARS|7453_calculated,60.473,122.7084,14,q,
SERPINA1|5265_calculated,57.2519,148.2487,14,q,
HNRNPC|3183_calculated,50.2262,67.9409,14,q,
NDUFB1|4707_calculated,49.1482,52.9089,14,q,
DDX24|57062_calculated,47.4845,37.4197,14,q,
CFL2|1073_calculated,47.1107,6.577,14,q,
HIF1A|3091_calculated,46.3391,46.6349,14,q,
OXA1L|5018_calculated,46.323,55.6848,14,q,
PSMA3|5684_calculated,46.0577,69.3007,14,q,
PSMA6|5687_calculated,45.9734,71.1922,14,q,
AHSA1|10598_calculated,42.6677,60.4861,14,q,
PSMB5|5693_calculated,38.7574,57.0353,14,q,
DYNC1H1|1778_calculated,36.9084,27.2968,14,q,
PNMA1|9240_calculated,36.7085,17.7352,14,q,
AKT1|207_calculated,34.9779,37.3653,14,q,
IFI27L2|83982_calculated,34.9528,35.7247,14,q,
SEC23A|10484_calculated,34.1712,18.8712,14,q,
RNASE4|6038_calculated,34.0012,37.8583,14,q,
SRSF5|6430_calculated,32.4167,23.6931,14,q,
CRIP2|1397_calculated,31.4711,21.9407,14,q,
GLRX5|51218_calculated,31.1416,42.9827,14,q,
ARF6|382_calculated,31.1347,42.3068,14,q,
FBLN5|10516_calculated,31.1185,10.1915,14,q,
CDC42BPB|9578_calculated,31.0152,27.3989,14,q,
KTN1|3895_calculated,30.0585,26.0274,14,q,
EIF5|1983_calculated,29.9654,31.0737,14,q,
DHRS7|51635_calculated,29.6332,37.4266,14,q,
YY1|7528_calculated,28.9744,32.7122,14,q,
VTI1B|10490_calculated,28.4039,28.5893,14,q,
LTBP2|4053_calculated,27.7291,14.7129,14,q,
HIF1A-AS2|100750247_calculated,27.4477,27.0582,14,q,
KLHDC2|23588_calculated,26.8229,21.058,14,q,
INF2|64423_calculated,26.8108,39.0997,14,q,
IRF2BPL|64207_calculated,26.5668,15.566,14,q,
FOXN3|1112_calculated,26.5061,11.6185,14,q,
FKBP3|2287_calculated,26.4106,28.6652,14,q,
RBM25|58517_calculated,26.2785,24.4357,14,q,
IRF9|10379_calculated,26.1148,32.0623,14,q,
AHNAK2|113146_calculated,25.6652,5.7277,14,q,
SPTSSA|171546_calculated,24.81,23.7639,14,q,
ITPK1|3705_calculated,23.7035,29.5091,14,q,
BCL2L2-PABPN1|100529063_calculated,23.3984,22.0772,14,q,
EAPP|55837_calculated,23.239,24.2819,14,q,
DLST|1743_calculated,22.9984,24.3662,14,q,
RDH11|51109_calculated,22.6423,28.9797,14,q,
MTA1|9112_calculated,22.604,22.5599,14,q,
NDRG2|57447_calculated,22.1302,17.5176,14,q,
C14orf1|11161_calculated,22.1037,34.2967,14,q,
