gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
GNAL|2774_calculated,3.606,0.9656,18,p,11.22-
PTPN2|5771_calculated,6.701,8.5194,18,p,11.3-
TYMS|7298_calculated,15.5754,36.5656,18,p,11.31-
YES1|7525_calculated,12.5565,15.1542,18,p,11.31-
L3MBTL4|91133_calculated,1.2516,0.731,18,p,11.31-
TXNDC2|84203_calculated,0.1025,0.0342,18,p,11.31-
MYL12B|103910_calculated,257.2214,381.8291,18,p,
MYL12A|10627_calculated,208.1771,274.0954,18,p,
NDUFV2|4729_calculated,60.7269,80.8503,18,p,
TUBB6|84617_calculated,43.1398,19.9792,18,p,
RAB31|11031_calculated,36.9006,17.0097,18,p,
CHMP1B|57132_calculated,31.9729,27.0789,18,p,
TWSG1|57045_calculated,27.7208,14.7567,18,p,
VAPA|9218_calculated,22.1017,22.3652,18,p,
RALBP1|10928_calculated,21.533,24.2521,18,p,
AFG3L2|10939_calculated,21.0172,26.0766,18,p,
PPP4R1|9989_calculated,17.9232,20.789,18,p,
IMPA2|3613_calculated,15.7636,26.5723,18,p,
APCDD1|147495_calculated,15.3634,27.58,18,p,
USP14|9097_calculated,14.5298,17.9522,18,p,
LPIN2|9663_calculated,14.2926,17.5971,18,p,
PSMG2|56984_calculated,13.7604,16.4695,18,p,
PTPRM|5797_calculated,13.2696,5.2282,18,p,
TGIF1|7050_calculated,12.8905,17.2464,18,p,
SMCHD1|23347_calculated,10.8162,9.2274,18,p,
COLEC12|81035_calculated,10.724,2.7579,18,p,
SEH1L|81929_calculated,10.3547,14.8475,18,p,
ANKRD12|23253_calculated,8.7796,5.7782,18,p,
RAB12|201475_calculated,8.5493,4.7725,18,p,
NAPG|8774_calculated,7.9694,8.3353,18,p,
RNMT|8731_calculated,6.8705,6.7248,18,p,
ENOSF1|55556_calculated,6.3334,10.1489,18,p,
EPB41L3|23136_calculated,6.3143,3.5514,18,p,
SPIRE1|56907_calculated,6.2407,3.9445,18,p,
MPPE1|65258_calculated,6.1206,5.6729,18,p,
MYOM1|8736_calculated,5.2863,0.8177,18,p,
EMILIN2|84034_calculated,5.127,5.4504,18,p,
THOC1|9984_calculated,5.0873,5.5894,18,p,
NDC80|10403_calculated,3.8453,7.6129,18,p,
ZNF397|84307_calculated,3.5438,2.5951,18,p,
METTL4|64863_calculated,3.2411,3.2732,18,p,
CEP192|55125_calculated,2.9216,2.9829,18,p,
FAM210A|125228_calculated,2.7707,3.5762,18,p,
CEP76|79959_calculated,2.2965,3.0043,18,p,
ADCYAP1|116_calculated,1.6315,0.3222,18,p,
LINC00526|147525_calculated,1.4017,1.6533,18,p,
TMEM200C|645369_calculated,1.1308,0.5511,18,p,
SLMO1|10650_calculated,1.1151,1.1087,18,p,
PIEZO2|63895_calculated,1.0126,0.6073,18,p,
ARHGAP28|79822_calculated,0.976,0.4301,18,p,
CIDEA|1149_calculated,0.5696,0.2655,18,p,
ZNF396|252884_calculated,0.5439,0.5335,18,p,
ZNF519|162655_calculated,0.4339,0.3419,18,p,
CBX3P2|645158_calculated,0.4115,0.275,18,p,
ROCK1P1|727758_calculated,0.2422,0.2584,18,p,
CLUL1|27098_calculated,0.1697,0.282,18,p,
ANKRD20A5P|440482_calculated,0.1682,0.2606,18,p,
DLGAP1|9229_calculated,0.157,0.2411,18,p,
LAMA1|284217_calculated,0.1455,0.9997,18,p,
CYP4F35P|284233_calculated,0.1384,0.1935,18,p,
MC5R|4161_calculated,0.1094,0.1124,18,p,
CXADRP3|440224_calculated,0.0382,0.0449,18,p,
MC2R|4158_calculated,0.036,0.0178,18,p,
LINC00470|56651_calculated,0.0356,0.1496,18,p,
C18orf42|642597_calculated,0.0227,0.0126,18,p,
ANKRD30B|374860_calculated,0.0203,0.0163,18,p,
ANKRD62|342850_calculated,0.0137,0.0255,18,p,
LRRC30|339291_calculated,0.007,0.0041,18,p,
POTEC|388468_calculated,0.0042,0.0034,18,p,
CETN1|1068_calculated,0.0018,0.0084,18,p,
GATA6|2627_calculated,19.2504,31.5881,18,q,11-
SLC14A1|6563_calculated,0.6858,0.35,18,q,11-
IMPACT|55364_calculated,5.8774,5.9031,18,q,11.2-
AQP4|361_calculated,0.3335,0.3895,18,q,11.2-
PIAS2|9063_calculated,2.6804,2.4873,18,q,12.1-
SLC14A2|8170_calculated,0.2537,0.1605,18,q,12.1-
MEP1B|4225_calculated,1.487,5.7574,18,q,12.2-
GRP|2922_calculated,3.1582,1.1746,18,q,21.1-
FECH|2235_calculated,2.9132,2.777,18,q,21.2-
LMAN1|3998_calculated,24.5157,28.0489,18,q,21.3-
ZNF236|7776_calculated,2.4023,2.0645,18,q,22-
ATP5A1|498_calculated,91.7531,131.9588,18,q,
RPL17-C18ORF32|100526842_calculated,56.8729,62.0703,18,q,
CYB5A|1528_calculated,44.9795,67.7571,18,q,
NARS|4677_calculated,40.4712,60.7577,18,q,
DSG2|1829_calculated,40.2052,75.4239,18,q,
ACAA2|10449_calculated,35.0448,44.0918,18,q,
C18orf32|497661_calculated,25.1096,26.2327,18,q,
IER3IP1|51124_calculated,22.9,37.0496,18,q,
MAPRE2|10982_calculated,22.4218,15.2915,18,q,
ATP8B1|5205_calculated,20.1376,30.3125,18,q,
ROCK1|6093_calculated,19.832,12.9563,18,q,
TXNL4A|10907_calculated,19.1907,27.833,18,q,
GALNT1|2589_calculated,19.11,22.7587,18,q,
RIOK3|8780_calculated,18.5503,24.1719,18,q,
TPGS2|25941_calculated,18.3428,25.4227,18,q,
SNRPD1|6632_calculated,18.3345,34.5522,18,q,
SERPINB5|5268_calculated,16.7857,40.702,18,q,
SS18|6760_calculated,16.0897,16.1809,18,q,
TSHZ1|10194_calculated,15.2747,6.9869,18,q,
KDSR|2531_calculated,15.1689,13.5566,18,q,
VPS4B|9525_calculated,14.0796,17.3937,18,q,
MBD2|8932_calculated,12.873,14.2024,18,q,
SCARNA17|677769_calculated,12.8689,8.2129,18,q,
PQLC1|80148_calculated,12.8532,16.3643,18,q,
SLC39A6|25800_calculated,12.6496,14.6798,18,q,
CNDP2|55748_calculated,12.6314,23.482,18,q,
RPRD1A|55197_calculated,12.6058,11.9181,18,q,
ME2|4200_calculated,12.5465,15.5121,18,q,
C18orf8|29919_calculated,11.9961,14.2615,18,q,
DYM|54808_calculated,11.8053,10.9965,18,q,
ZNF24|7572_calculated,11.4224,11.601,18,q,
ELP2|55250_calculated,11.1334,10.8716,18,q,
HDHD2|84064_calculated,10.8917,10.8163,18,q,
ZNF532|55205_calculated,10.8159,6.0192,18,q,
NPC1|4864_calculated,10.5863,10.7999,18,q,
TXNL1|9352_calculated,10.5599,13.1798,18,q,
MEX3C|51320_calculated,9.6967,9.7309,18,q,
MBD1|4152_calculated,9.1669,9.4336,18,q,
DSC2|1824_calculated,9.0902,19.263,18,q,
CXXC1|30827_calculated,8.8212,10.9404,18,q,
TIMM21|29090_calculated,8.7486,10.4418,18,q,
SEC11C|90701_calculated,8.4726,14.5638,18,q,
HAUS1|115106_calculated,8.4246,12.314,18,q,
CTIF|9811_calculated,8.2618,4.8621,18,q,
LAMA3|3909_calculated,8.2149,15.317,18,q,
TMX3|54495_calculated,7.9886,6.6335,18,q,
HSBP1L1|440498_calculated,7.9758,16.7813,18,q,
C18orf21|83608_calculated,7.7573,9.6092,18,q,
TRAPPC8|22878_calculated,7.5549,7.1567,18,q,
RNF138|51444_calculated,7.5197,9.5148,18,q,
NEDD4L|23327_calculated,7.3238,9.0048,18,q,
CTDP1|9150_calculated,7.299,8.5952,18,q,
TCF4|6925_calculated,7.237,3.1535,18,q,
SMAD4|4089_calculated,7.155,5.4559,18,q,
SMAD7|4092_calculated,7.0467,6.5274,18,q,
MIB1|57534_calculated,6.7475,6.1754,18,q,
SMAD2|4087_calculated,6.7286,6.0039,18,q,
RBBP8|5932_calculated,6.7262,10.6884,18,q,
MYO5B|4645_calculated,6.575,12.9907,18,q,
MALT1|10892_calculated,6.5424,6.2938,18,q,
SOCS6|9306_calculated,6.5302,7.5164,18,q,
ABHD3|171586_calculated,6.5058,12.4297,18,q,
ZADH2|284273_calculated,6.3257,5.7983,18,q,
RAB27B|5874_calculated,6.0795,9.9199,18,q,
NFATC1|4772_calculated,5.9627,3.4904,18,q,
ADNP2|22850_calculated,5.9458,6.706,18,q,
SETBP1|26040_calculated,5.898,1.2191,18,q,
CABLES1|91768_calculated,5.8418,7.3425,18,q,
TNFRSF11A|8792_calculated,5.7569,11.3943,18,q,
ZNF271|10778_calculated,5.3563,4.3692,18,q,
KIAA1468|57614_calculated,5.3383,6.5394,18,q,
OSBPL1A|114876_calculated,5.2317,2.6896,18,q,
C18orf25|147339_calculated,5.1828,5.5115,18,q,
ONECUT2|9480_calculated,4.8358,5.3315,18,q,
