gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
JAK3|3718_calculated,6.8707,4.098,19,p,13-
UBA52|7311_calculated,137.6399,168.1461,19,p,13.1-
ZNF43|7594_calculated,2.8134,1.6525,19,p,13.1-
FAM32A|26017_calculated,37.8494,47.9211,19,p,13.12-
CNN1|1264_calculated,1030.2805,67.5189,19,p,13.2-
NOTCH3|4854_calculated,37.484,28.6434,19,p,13.2-
UPF1|5976_calculated,22.9066,26.0464,19,p,13.2-
RAB8A|4218_calculated,22.3367,28.9123,19,p,13.2-
ZNF791|163049_calculated,8.6165,5.5962,19,p,13.2-
INSL3|3640_calculated,0.8066,0.6584,19,p,13.2-
BEST2|54831_calculated,0.5965,0.4322,19,p,13.2-
CALR|811_calculated,296.0147,523.5791,19,p,13.3-
C3|718_calculated,291.738,132.4221,19,p,13.3-
ICAM1|3383_calculated,26.3034,38.3333,19,p,13.3-
SAFB|6294_calculated,17.6117,19.8067,19,p,13.3-
INSR|3643_calculated,15.7423,12.0027,19,p,13.3-
CD320|51293_calculated,13.1745,22.1359,19,p,13.3-
STXBP2|6813_calculated,12.6689,24.0613,19,p,13.3-
TIMM44|10469_calculated,10.7961,14.8185,19,p,13.3-
ICAM3|3385_calculated,9.9628,12.5173,19,p,13.3-
MAP2K7|5609_calculated,9.553,9.1394,19,p,13.3-
CAMSAP3|57662_calculated,7.9634,17.1703,19,p,13.3-
MYO1F|4542_calculated,6.6853,5.5796,19,p,13.3-
TM6SF2|53345_calculated,4.0096,10.7846,19,p,13.3-
EPOR|2057_calculated,1.4755,1.7991,19,p,13.3-
EEF2|1938_calculated,1035.9012,918.1108,19,p,
RPL36|25873_calculated,522.1172,645.7004,19,p,
RPS15|6209_calculated,510.9592,721.8311,19,p,
OAZ1|4946_calculated,353.9296,446.274,19,p,
JUNB|3726_calculated,235.294,195.2133,19,p,
JUND|3727_calculated,203.9457,175.4921,19,p,
BSG|682_calculated,178.5761,257.5181,19,p,
IFI30|10437_calculated,157.8876,298.4238,19,p,
GPX4|2879_calculated,136.4671,164.5644,19,p,
TPM4|7171_calculated,128.7615,132.3697,19,p,
UBL5|59286_calculated,124.8027,148.6933,19,p,
C19orf43|79002_calculated,118.6335,143.8123,19,p,
FKBP8|23770_calculated,117.5217,127.1741,19,p,
NDUFB7|4713_calculated,115.6958,130.8886,19,p,
BST2|684_calculated,100.3155,140.7917,19,p,
COPE|11316_calculated,99.091,163.383,19,p,
CFD|1675_calculated,97.0017,34.2028,19,p,
PLVAP|83483_calculated,96.403,73.4533,19,p,
AES|166_calculated,95.7828,88.2231,19,p,
RPL18A|6142_calculated,94.9944,143.2315,19,p,
PRKCSH|5589_calculated,93.8774,138.9412,19,p,
ATP5D|513_calculated,92.3739,146.8467,19,p,
PTBP1|5725_calculated,88.7585,132.8787,19,p,
KLF2|10365_calculated,86.5689,68.2539,19,p,
IER2|9592_calculated,74.1138,79.6578,19,p,
WDR83OS|51398_calculated,72.509,79.9566,19,p,
PRDX2|7001_calculated,71.9526,113.6767,19,p,
CDC37|11140_calculated,71.6116,97.1444,19,p,
RAD23A|5886_calculated,71.3818,88.491,19,p,
UQCR11|10975_calculated,70.3708,79.3705,19,p,
C19orf10|56005_calculated,67.4932,114.4964,19,p,
ZNF358|140467_calculated,66.0099,38.5669,19,p,
NFIC|4782_calculated,62.5734,26.9626,19,p,
RAB11B|9230_calculated,62.2622,64.4548,19,p,
GADD45B|4616_calculated,62.1962,20.4057,19,p,
CNN2|1265_calculated,60.8004,69.2607,19,p,
LSM7|51690_calculated,60.6374,85.238,19,p,
SF3A2|8175_calculated,60.571,82.3761,19,p,
RPS28|6234_calculated,60.5029,72.6471,19,p,
KANK2|25959_calculated,58.9363,12.8467,19,p,
NFIX|4784_calculated,57.3841,27.6173,19,p,
C19orf53|28974_calculated,54.511,74.602,19,p,
PIK3R2|5296_calculated,53.0219,85.3824,19,p,
NDUFA7|4701_calculated,52.1033,79.1474,19,p,
KHSRP|8570_calculated,51.3126,66.3759,19,p,
GADD45GIP1|90480_calculated,50.6166,67.5937,19,p,
DNAJB1|3337_calculated,50.0124,76.7705,19,p,
EIF3G|8666_calculated,48.3915,52.5162,19,p,
MRPL34|64981_calculated,45.5493,52.0631,19,p,
MAN2B1|4125_calculated,45.1418,48.7173,19,p,
GNA11|2767_calculated,44.0519,46.8987,19,p,
PGLS|25796_calculated,43.967,61.237,19,p,
GIPC1|10755_calculated,43.8748,79.9449,19,p,
GDF15|9518_calculated,43.7671,86.6498,19,p,
SLC25A23|79085_calculated,42.2239,27.5873,19,p,
MIDN|90007_calculated,42.009,45.8037,19,p,
PKN1|5585_calculated,41.9283,38.318,19,p,
ZBTB7A|51341_calculated,41.3145,38.0213,19,p,
R3HDM4|91300_calculated,40.9888,59.5932,19,p,
TECR|9524_calculated,40.9863,76.8903,19,p,
CIRBP|1153_calculated,40.5387,24.5613,19,p,
SLC44A2|57153_calculated,39.6201,48.6341,19,p,
CCDC124|115098_calculated,38.2947,52.3086,19,p,
ASNA1|439_calculated,38.2209,51.3548,19,p,
DAZAP1|26528_calculated,37.6617,53.4746,19,p,
MKNK2|2872_calculated,36.9145,40.3435,19,p,
HNRNPM|4670_calculated,36.6974,44.1942,19,p,
MAP2K2|5605_calculated,36.232,49.2254,19,p,
TMEM205|374882_calculated,35.6418,45.1015,19,p,
AP3D1|8943_calculated,35.5132,41.039,19,p,
TRAPPC5|126003_calculated,34.7229,49.2497,19,p,
SH3GL1|6455_calculated,34.3145,46.9813,19,p,
BTBD2|55643_calculated,34.2038,38.5615,19,p,
CD97|976_calculated,34.0731,39.3159,19,p,
POLR2E|5434_calculated,33.95,42.4266,19,p,
SPPL2B|56928_calculated,33.7882,42.6589,19,p,
CARM1|10498_calculated,33.3408,41.4557,19,p,
MOB3A|126308_calculated,32.3683,21.8912,19,p,
RAVER1|125950_calculated,32.301,43.3492,19,p,
UBXN6|80700_calculated,32.2484,31.4005,19,p,
NR2F6|2063_calculated,31.8275,59.4899,19,p,
CLPP|8192_calculated,31.3315,46.0928,19,p,
PLIN3|10226_calculated,30.7393,44.9898,19,p,
ALKBH7|84266_calculated,29.9979,35.5684,19,p,
PIP5K1C|23396_calculated,29.8158,14.2706,19,p,
