gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
SUSD2|56241_calculated,7.9959,8.7823,22,q,11-
GNAZ|2781_calculated,8.0005,2.6612,22,q,11.1-
APOL4|80832_calculated,3.2482,3.6739,22,q,11.2-
CRYBB2P1|1416_calculated,2.7495,3.0324,22,q,11.2-
GP1BB|2812_calculated,6.9026,3.6311,22,q,11.21-
SUN2|25777_calculated,40.0341,28.3545,22,q,12-
TOMM22|56993_calculated,23.2576,35.481,22,q,12-
RBFOX2|23543_calculated,21.1028,10.2966,22,q,12-
PPARA|5465_calculated,6.316,5.104,22,q,12-
YWHAH|7533_calculated,80.9935,95.5966,22,q,12.1-
C22orf24|25775_calculated,0.1463,0.1516,22,q,12.1-
CSF2RB|1439_calculated,8.3845,6.9031,22,q,12.2-
CYTH4|27128_calculated,3.4637,2.816,22,q,12.3-
SLC16A8|23539_calculated,0.4048,0.3838,22,q,12.3-
APOBEC3C|27350_calculated,33.2071,26.6492,22,q,13.1-
SGSM3|27352_calculated,16.2748,22.204,22,q,13.1-
MCM5|4174_calculated,9.3763,17.7093,22,q,13.1-
TNFRSF13C|115650_calculated,6.5324,3.021,22,q,13.1-
APOBEC3F|200316_calculated,3.5896,3.0295,22,q,13.1-
APOBEC3B|9582_calculated,2.3429,4.8114,22,q,13.1-
PACSIN2|11252_calculated,25.6051,26.2372,22,q,13.2-
PARVB|29780_calculated,10.4244,10.9269,22,q,13.2-
SERHL|94009_calculated,2.5306,3.1573,22,q,13.2-
GTSE1|51512_calculated,2.3338,5.6351,22,q,13.2-
L3MBTL2|83746_calculated,9.7809,11.0897,22,q,13.31-
TUBGCP6|85378_calculated,5.949,4.6175,22,q,13.31-
LGALS1|3956_calculated,591.594,311.3841,22,q,
RPL3|6122_calculated,394.9511,434.7842,22,q,
MIF|4282_calculated,328.5486,698.4713,22,q,
IGLL5|100423062_calculated,245.635,607.1413,22,q,
MYH9|4627_calculated,202.3255,175.8897,22,q,
TIMP3|7078_calculated,121.9326,48.1292,22,q,
CHCHD10|400916_calculated,120.9127,192.2588,22,q,
CYB5R3|1727_calculated,109.104,83.7517,22,q,
ATF4|468_calculated,103.6626,111.7008,22,q,
EIF3L|51386_calculated,103.1354,98.5572,22,q,
MIR650|723778_calculated,95.8731,313.0181,22,q,
DDX17|10521_calculated,89.3464,69.3582,22,q,
SMTN|6525_calculated,83.9641,13.2361,22,q,
TSPO|706_calculated,82.3841,178.5682,22,q,
CDC42EP1|11135_calculated,82.3746,181.6914,22,q,
EIF3D|8664_calculated,81.1338,105.9408,22,q,
PLXNB2|23654_calculated,70.9673,91.0738,22,q,
H1F0|3005_calculated,70.2476,105.886,22,q,
XRCC6|2547_calculated,69.6622,89.6215,22,q,
XBP1|7494_calculated,66.0465,122.556,22,q,
FBLN1|2192_calculated,61.1332,17.6987,22,q,
ACO2|50_calculated,60.2782,75.9236,22,q,
ATP6V1E1|529_calculated,58.8876,59.4585,22,q,
UQCR10|29796_calculated,53.4193,86.3264,22,q,
RAC2|5880_calculated,52.8542,52.3785,22,q,
NDUFA6|4700_calculated,45.7546,55.9977,22,q,
ST13|6767_calculated,43.0853,42.8609,22,q,
MMP11|4320_calculated,41.287,68.3611,22,q,
TYMP|1890_calculated,41.1777,75.8357,22,q,
NHP2L1|4809_calculated,39.5493,55.0991,22,q,
TXN2|25828_calculated,37.5516,55.21,22,q,
APOL1|8542_calculated,36.7797,65.514,22,q,
RANBP1|5902_calculated,36.5781,62.9565,22,q,
SREBF2|6721_calculated,35.0122,44.936,22,q,
RPS19BP1|91582_calculated,34.7033,44.3104,22,q,
RBX1|9978_calculated,34.3846,42.278,22,q,
PIM3|415116_calculated,33.5243,56.728,22,q,
DDT|1652_calculated,33.1558,67.0781,22,q,
SLC25A1|6576_calculated,32.3703,56.9431,22,q,
GGT5|2687_calculated,31.7985,16.3618,22,q,
UBE2L3|7332_calculated,31.1573,35.2736,22,q,
CBX7|23492_calculated,30.4398,8.3459,22,q,
EWSR1|2130_calculated,30.354,37.9173,22,q,
MAPK1|5594_calculated,28.914,26.8818,22,q,
LMF2|91289_calculated,28.8126,36.1936,22,q,
MRPL40|64976_calculated,28.0133,36.9496,22,q,
TOB2|10766_calculated,27.8197,21.9277,22,q,
SNRPD3|6634_calculated,26.6467,36.5172,22,q,
SF3A1|10291_calculated,26.4882,28.1604,22,q,
KDELR3|11015_calculated,25.4509,39.3604,22,q,
COMT|1312_calculated,25.258,36.6857,22,q,
DRG1|4733_calculated,24.7998,34.6721,22,q,
DGCR2|9993_calculated,24.1103,28.0114,22,q,
SMARCB1|6598_calculated,23.2134,33.1587,22,q,
SDF2L1|23753_calculated,23.2132,43.6328,22,q,
TST|7263_calculated,23.156,51.3819,22,q,
TUG1|55000_calculated,22.863,21.1057,22,q,
CBX6|23466_calculated,22.8225,7.439,22,q,
POLDIP3|84271_calculated,22.4025,24.1438,22,q,
SCO2|9997_calculated,21.7178,38.292,22,q,
AP1B1|162_calculated,21.5873,30.2908,22,q,
EP300|2033_calculated,21.1113,19.044,22,q,
SBF1|6305_calculated,20.2279,18.9521,22,q,
MICALL1|85377_calculated,19.9428,13.9797,22,q,
TMEM184B|25829_calculated,19.3678,21.6214,22,q,
TRABD|80305_calculated,19.3237,32.8723,22,q,
HMOX1|3162_calculated,19.2433,29.3123,22,q,
ADSL|158_calculated,18.5436,22.8408,22,q,
ATXN10|25814_calculated,18.5083,21.184,22,q,
CERK|64781_calculated,18.293,13.2877,22,q,
CABIN1|23523_calculated,18.2782,18.4008,22,q,
JOSD1|9929_calculated,18.0379,20.8772,22,q,
CRKL|1399_calculated,17.6957,17.6123,22,q,
SCARF2|91179_calculated,17.0855,8.451,22,q,
LGALS2|3957_calculated,16.7846,53.2701,22,q,
CLDN5|7122_calculated,16.784,7.1696,22,q,
PI4KA|5297_calculated,16.6855,13.8716,22,q,
ARFGAP3|26286_calculated,16.51,20.9852,22,q,
GSTT1|2952_calculated,16.4823,20.7919,22,q,
GTPBP1|9567_calculated,16.458,16.5553,22,q,
CSNK1E|1454_calculated,16.4325,15.0633,22,q,
APOL6|80830_calculated,16.0219,18.7673,22,q,
VPREB3|29802_calculated,16.0195,8.667,22,q,
PHF5A|84844_calculated,15.8078,23.0955,22,q,
PES1|23481_calculated,15.802,24.4289,22,q,
CECR1|51816_calculated,15.7912,12.5972,22,q,
MED15|51586_calculated,15.7752,17.7081,22,q,
APOL2|23780_calculated,15.6585,20.6613,22,q,
TTLL12|23170_calculated,15.6481,30.716,22,q,
ASCC2|84164_calculated,15.4808,22.3611,22,q,
ODF3B|440836_calculated,15.2895,16.83,22,q,
BAIAP2L2|80115_calculated,15.2457,31.3779,22,q,
MAFF|23764_calculated,15.0963,15.4448,22,q,
PIK3IP1|113791_calculated,15.0033,9.3337,22,q,
POLR3H|171568_calculated,14.884,18.646,22,q,
NAGA|4668_calculated,14.883,17.2507,22,q,
TCN2|6948_calculated,14.6925,13.9006,22,q,
TTC38|55020_calculated,14.6309,23.121,22,q,
