gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
CGGBP1|8545_calculated,22.9012,17.8612,3,p,12-
MITF|4286_calculated,5.7295,2.2392,3,p,14.1-
TMF1|7110_calculated,8.9607,8.7016,3,p,21-
PTPRG|5793_calculated,6.2482,4.4758,3,p,21-
WNT5A|7474_calculated,5.5735,5.7157,3,p,21-
GPR27|2850_calculated,2.3066,1.2978,3,p,21-
DNAH1|25981_calculated,1.2843,0.9006,3,p,21-
PDHB|5162_calculated,24.0866,25.7926,3,p,21.1-
APPL1|26060_calculated,11.6329,10.6062,3,p,21.1-
ATXN7|6314_calculated,5.1456,4.11,3,p,21.1-
ARF4|378_calculated,125.336,153.2597,3,p,21.2-
SLMAP|7871_calculated,35.9487,11.0897,3,p,21.2-
AMT|275_calculated,3.6855,3.059,3,p,21.2-
RPL29|6159_calculated,520.6943,717.0429,3,p,21.3-
LAMB2|3913_calculated,64.4285,31.4987,3,p,21.3-
PRKAR2A|5576_calculated,16.4686,14.3687,3,p,21.3-
LAMB2P1|22973_calculated,0.7813,0.3431,3,p,21.3-
XCR1|2829_calculated,0.6181,0.6793,3,p,21.3-
BAP1|8314_calculated,16.5611,17.4578,3,p,21.31-
RPL14|9045_calculated,284.4761,333.8709,3,p,22-
CLEC3B|7123_calculated,38.606,12.8607,3,p,22-
GOLGA4|2803_calculated,21.4927,20.1418,3,p,22-
GORASP1|64689_calculated,13.2124,13.8877,3,p,22-
PLCD1|5333_calculated,6.1012,5.0351,3,p,22-
XYLB|9942_calculated,2.0448,3.3098,3,p,22-
PFKFB4|5210_calculated,1.6885,2.8248,3,p,22-
PTH1R|5745_calculated,1.3836,0.339,3,p,22-
TGM4|7047_calculated,0.0142,0.0163,3,p,22-
ANO10|55129_calculated,8.6779,9.3971,3,p,22.1-
PARP3|10039_calculated,9.8844,11.7098,3,p,22.2-
GADL1|339896_calculated,0.1062,0.0556,3,p,23-
RAB5A|5868_calculated,24.37,25.2118,3,p,24-
RBMS3|27303_calculated,5.543,1.1304,3,p,24-
CCR4|1233_calculated,2.8707,1.5404,3,p,24-
GRIP2|80852_calculated,0.5246,0.4182,3,p,24-
DHX30|22907_calculated,12.5705,14.227,3,p,24.3-
SEC22C|9117_calculated,5.3449,4.501,3,p,24.3-
ATRIP|84126_calculated,2.4843,3.2342,3,p,24.3-
FBLN2|2199_calculated,31.5833,12.8233,3,p,25-
SEC13|6396_calculated,17.3906,26.1964,3,p,25-
OXNAD1|92106_calculated,2.5924,3.2986,3,p,25-
RAD18|56852_calculated,2.4851,3.5441,3,p,25-
ATG7|10533_calculated,13.3889,13.9703,3,p,25.3-
PLCL2|23228_calculated,3.4064,2.675,3,p,25.3-
