gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
COBL|23242_calculated,4.5819,4.1997,7,p,12.2-
VWC2|375567_calculated,0.5667,0.0782,7,p,12.3-
IGFBP3|3486_calculated,110.2185,91.7358,7,p,13-
OGDH|4967_calculated,42.1052,41.9244,7,p,13-
NUDCD3|23386_calculated,16.0905,15.0964,7,p,13-
RAMP3|10268_calculated,15.78,8.4046,7,p,13-
HUS1|3364_calculated,6.715,7.0746,7,p,13-
PGAM2|5224_calculated,3.5003,2.6341,7,p,13-
MYO1G|64005_calculated,2.4348,2.1081,7,p,13-
ADCY1|107_calculated,0.7446,0.8284,7,p,13-
IGFBP1|3484_calculated,0.4519,1.8719,7,p,13-
STARD3NL|83930_calculated,14.406,14.4784,7,p,14-
AOAH|313_calculated,4.7987,3.8394,7,p,14-
AMPH|273_calculated,1.1236,0.3474,7,p,14-
VPS41|27072_calculated,12.229,10.2651,7,p,14.1-
SCRN1|9805_calculated,19.4465,12.4011,7,p,14.3-
DPY19L1|23333_calculated,7.5768,10.4472,7,p,14.3-
CAMK2B|816_calculated,0.2201,0.3194,7,p,14.3-
GGCT|79017_calculated,19.858,35.1783,7,p,15-
INHBA|3624_calculated,17.8951,16.0758,7,p,15-
ANLN|54443_calculated,6.73,15.206,7,p,15-
NOD1|10392_calculated,5.1717,3.2272,7,p,15-
PDE1C|5137_calculated,1.5326,0.3641,7,p,15.1-
JAZF1|221895_calculated,10.4176,4.2485,7,p,15.2-
GCK|2645_calculated,0.1368,0.1288,7,p,15.3-
TSC22D4|81628_calculated,20.5705,25.8183,7,p,21-
IL6|3569_calculated,6.4137,3.2641,7,p,21-
PLEKHA8|84725_calculated,1.7446,1.8457,7,p,21-
CRHR2|1395_calculated,0.1167,0.075,7,p,21-
MYL7|58498_calculated,0.0155,0.0191,7,p,21-
NPVF|64111_calculated,0.0011,0.0015,7,p,21-
RALA|5898_calculated,18.6846,26.7702,7,p,22-
MEOX2|4223_calculated,4.8922,0.8995,7,p,22.1-
ACTB|60_calculated,4008.9796,3012.0267,7,p,
AGR2|10551_calculated,353.6311,871.6186,7,p,
CHCHD2|51142_calculated,184.6539,299.5835,7,p,
TOMM7|54543_calculated,143.1343,113.4143,7,p,
HNRNPA2B1|3181_calculated,135.7289,181.5937,7,p,
AEBP1|165_calculated,128.2425,73.1707,7,p,
RAC1|5879_calculated,124.4394,159.168,7,p,
KDELR2|11014_calculated,106.1933,156.6251,7,p,
SEC61G|23480_calculated,96.4825,150.8063,7,p,
NDUFA4|4697_calculated,75.2691,95.46,7,p,
SFRP4|6424_calculated,73.365,28.4359,7,p,
FAM188B|84182_calculated,63.1988,31.666,7,p,
MRPS24|64951_calculated,59.141,84.4701,7,p,
GPNMB|10457_calculated,57.6746,41.8865,7,p,
PPIA|5478_calculated,56.0821,104.5901,7,p,
CCT6A|908_calculated,44.6723,73.791,7,p,
DBNL|28988_calculated,42.2254,49.2277,7,p,
CBX3|11335_calculated,40.85,62.1173,7,p,
SEPT7|989_calculated,40.7852,28.1525,7,p,
AGR3|155465_calculated,40.3322,75.7446,7,p,
TSPAN13|27075_calculated,39.412,75.5956,7,p,
TAX1BP1|8887_calculated,38.3096,41.9664,7,p,
