gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
SIT1|27240_calculated,4.3983,3.9691,9,p,13-
SLC25A51|92014_calculated,2.9887,2.6766,9,p,13.3-
RMRP|6023_calculated,46.8623,88.5427,9,p,21-
NPR2|4882_calculated,5.5764,2.0813,9,p,21-
CNTLN|54875_calculated,1.1615,0.5404,9,p,22.2-
TLN1|7094_calculated,150.8898,54.4917,9,p,23-
CER1|9350_calculated,0.0286,0.1599,9,p,23-
KDM4C|23081_calculated,3.3256,3.7413,9,p,24-
NANS|54187_calculated,16.9166,32.3317,9,p,24.1-
RCL1|10171_calculated,3.5154,5.3338,9,p,24.1-
PTPRD|5789_calculated,0.7449,0.4249,9,p,24.1-
RPS6|6194_calculated,1209.05,1602.913,9,p,
TPM2|7169_calculated,812.8978,96.664,9,p,
CCL21|6366_calculated,117.4777,44.9564,9,p,
CLTA|1211_calculated,83.2619,125.2041,9,p,
ALDH1B1|219_calculated,65.1941,23.1591,9,p,
SPINK4|27290_calculated,62.4344,103.1559,9,p,
VCP|7415_calculated,61.4963,82.9538,9,p,
DNAJA1|3301_calculated,57.168,85.4162,9,p,
CCL19|6363_calculated,55.0447,18.4052,9,p,
SIGMAR1|10280_calculated,52.9937,86.3213,9,p,
RRAGA|10670_calculated,45.7605,37.0181,9,p,
STOML2|30968_calculated,39.1601,66.6202,9,p,
B4GALT1|2683_calculated,38.3537,50.4063,9,p,
DCTN3|11258_calculated,33.1872,36.157,9,p,
NDUFB6|4712_calculated,32.4742,41.9143,9,p,
DNAJB5|25822_calculated,30.5689,3.909,9,p,
TESK1|7016_calculated,25.3652,24.2654,9,p,
CHMP5|51510_calculated,23.2246,31.7908,9,p,
UBE2R2|54926_calculated,23.1298,25.1079,9,p,
CREB3|10488_calculated,22.557,24.7948,9,p,
PLIN2|123_calculated,21.8627,26.2424,9,p,
AK3|50808_calculated,21.8484,19.9462,9,p,
PRSS3|5646_calculated,21.7943,66.7083,9,p,
PSIP1|11168_calculated,21.5432,14.8638,9,p,
HINT2|84681_calculated,21.4163,29.935,9,p,
NFIB|4781_calculated,20.8262,10.7833,9,p,
IL33|90865_calculated,19.2731,8.325,9,p,
UBAP1|51271_calculated,18.187,19.6537,9,p,
SMARCA2|6595_calculated,17.5191,10.7635,9,p,
ACO1|48_calculated,15.9916,17.4725,9,p,
KIAA1161|57462_calculated,15.6204,14.696,9,p,
BAG1|573_calculated,15.6151,20.1681,9,p,
RNF38|152006_calculated,14.6693,8.0841,9,p,
DCAF12|25853_calculated,14.5357,22.3233,9,p,
RGP1|9827_calculated,12.6534,12.5833,9,p,
GLIPR2|152007_calculated,12.4175,5.933,9,p,
CA9|768_calculated,12.1481,40.2905,9,p,
GBA2|57704_calculated,12.0329,14.466,9,p,
RUSC2|9853_calculated,11.8725,5.8527,9,p,
GALT|2592_calculated,10.8027,11.8381,9,p,
LURAP1L|286343_calculated,10.6383,9.6365,9,p,
NOL6|65083_calculated,10.1478,15.9256,9,p,
RPP25L|138716_calculated,9.648,16.1922,9,p,
TOMM5|401505_calculated,9.5993,16.8184,9,p,
SHB|6461_calculated,9.4045,12.7445,9,p,
KIAA0020|9933_calculated,9.2723,13.9087,9,p,
SNAPC3|6619_calculated,9.1704,8.2768,9,p,
KIAA2026|158358_calculated,9.1236,6.5302,9,p,
GNE|10020_calculated,9.1178,8.6035,9,p,
KLHL9|55958_calculated,8.9007,8.3251,9,p,
NUDT2|318_calculated,8.8281,10.497,9,p,
NFX1|4799_calculated,8.6781,8.0762,9,p,
MSMP|692094_calculated,8.6674,9.1525,9,p,
AQP3|360_calculated,8.5552,29.0215,9,p,
DENND4C|55667_calculated,8.4186,7.1443,9,p,
UBAP2|55833_calculated,8.3669,10.9754,9,p,
UNC13B|10497_calculated,8.34,8.8454,9,p,
EXOSC3|51010_calculated,8.2112,10.7522,9,p,
POLR1E|64425_calculated,8.0694,7.9493,9,p,
SMU1|55234_calculated,7.8442,7.8836,9,p,
TOPORS|10210_calculated,7.7592,7.1119,9,p,
PLGRKT|55848_calculated,7.7159,11.2064,9,p,
ERMP1|79956_calculated,7.3368,12.8386,9,p,
DCAF10|79269_calculated,7.1927,6.1053,9,p,
CDC37L1|55664_calculated,7.1656,6.0932,9,p,
JAK2|3717_calculated,7.0763,7.8408,9,p,
FAM219A|203259_calculated,7.0089,5.9312,9,p,
TMEM8B|51754_calculated,6.8812,3.6866,9,p,
DDX58|23586_calculated,6.7849,5.5573,9,p,
PTPLAD2|401494_calculated,6.7427,2.4628,9,p,
PLAA|9373_calculated,6.714,7.8082,9,p,
TUSC1|286319_calculated,6.6743,5.1371,9,p,
MPDZ|8777_calculated,6.385,1.3083,9,p,
ZCCHC7|84186_calculated,6.312,6.5204,9,p,
CAAP1|79886_calculated,6.282,8.6229,9,p,
MOB3B|79817_calculated,5.9179,7.1522,9,p,
VLDLR|7436_calculated,5.6447,2.325,9,p,
SLC1A1|6505_calculated,5.5977,7.4595,9,p,
CDKN2B|1030_calculated,5.5499,7.7325,9,p,
KANK1|23189_calculated,5.276,3.7182,9,p,
FBXO10|26267_calculated,5.0667,5.7573,9,p,
UHRF2|115426_calculated,5.0206,4.3412,9,p,
CDKN2A|1029_calculated,4.9805,16.2259,9,p,
FOCAD|54914_calculated,4.8402,5.041,9,p,
DOCK8|81704_calculated,4.8141,3.1267,9,p,
TEK|7010_calculated,4.802,2.063,9,p,
RECK|8434_calculated,4.7413,1.4046,9,p,
APTX|54840_calculated,4.7205,6.8711,9,p,
PIGO|84720_calculated,4.5535,7.1317,9,p,
RANBP6|26953_calculated,4.4288,4.2534,9,p,
MLLT3|4300_calculated,4.297,4.1611,9,p,
ZBTB5|9925_calculated,4.2848,4.7883,9,p,
FAM214B|80256_calculated,4.1482,4.5004,9,p,
IFT74|80173_calculated,4.048,3.5341,9,p,
FANCG|2189_calculated,4.0279,7.6214,9,p,
ACER2|340485_calculated,3.9741,6.0277,9,p,
MELK|9833_calculated,3.9547,11.232,9,p,
PPAPDC2|403313_calculated,3.5297,4.9354,9,p,
BNC2|54796_calculated,3.4592,0.6137,9,p,
TYRP1|7306_calculated,3.3962,1.0108,9,p,
PAX5|5079_calculated,3.3888,1.3011,9,p,
CNTFR|1271_calculated,3.0938,2.4118,9,p,
CD72|971_calculated,3.0313,1.9465,9,p,
C9orf72|203228_calculated,2.9824,2.9199,9,p,
TOPORS-AS1|100129250_calculated,2.8151,2.475,9,p,
IL11RA|3590_calculated,2.7665,1.0757,9,p,
MTAP|4507_calculated,2.7594,3.9939,9,p,
TTC39B|158219_calculated,2.7043,2.7044,9,p,
ZDHHC21|340481_calculated,2.5507,2.3697,9,p,
HAUS6|54801_calculated,2.4499,3.2282,9,p,
GLIS3|169792_calculated,2.2582,1.6921,9,p,
PDCD1LG2|80380_calculated,1.8353,1.703,9,p,
ADAMTSL1|92949_calculated,1.7512,0.6218,9,p,
CBWD1|55871_calculated,1.5654,2.1455,9,p,
HRCT1|646962_calculated,1.5345,1.9265,9,p,
FREM1|158326_calculated,1.4864,0.4296,9,p,
CD274|29126_calculated,1.4299,3.4302,9,p,
LRRC19|64922_calculated,1.3893,1.6677,9,p,
IGFBPL1|347252_calculated,1.363,3.1588,9,p,
PTENP1|11191_calculated,1.2782,0.926,9,p,
KIF24|347240_calculated,1.247,2.1665,9,p,
AQP7|364_calculated,1.084,0.9902,9,p,
SPAG8|26206_calculated,1.0033,0.4109,9,p,
GLIS3-AS1|84850_calculated,0.9531,0.7608,9,p,
WASH1|100287171|2of2_calculated,0.9347,0.9589,9,p,
RFX3|5991_calculated,0.8596,0.9825,9,p,
C9orf24|84688_calculated,0.7064,0.5031,9,p,
FAM201A|158228_calculated,0.6828,1.4357,9,p,
ZNF658|26149_calculated,0.6729,0.3778,9,p,
SUGT1P1|441394_calculated,0.6583,0.3686,9,p,
FAM27A|548321_calculated,0.6423,0.8962,9,p,
FAM166B|730112_calculated,0.6009,0.4621,9,p,
MLANA|2315_calculated,0.5788,0.3169,9,p,
DMRTA1|63951_calculated,0.5658,0.6329,9,p,
MIR31HG|554202_calculated,0.5502,1.3964,9,p,
GLDC|2731_calculated,0.5261,2.246,9,p,
SNORD121B|100113385_calculated,0.5079,0.674,9,p,
SPATA6L|55064_calculated,0.4536,0.4939,9,p,
ENHO|375704_calculated,0.4369,0.812,9,p,
C9orf66|157983_calculated,0.419,0.3875,9,p,
RLN2|6019_calculated,0.3729,0.5526,9,p,
ANKRD18A|253650_calculated,0.3673,0.5927,9,p,
CDKN2B-AS1|100048912_calculated,0.3309,0.7871,9,p,
SH3GL2|6456_calculated,0.3266,0.1888,9,p,
CCDC171|203238_calculated,0.3178,0.3093,9,p,
C9orf131|138724_calculated,0.307,0.1071,9,p,
KIAA1045|23349_calculated,0.2877,0.0936,9,p,
CNTNAP3B|728577|1of2_calculated,0.2829,0.0717,9,p,
SNORD121A|100113379_calculated,0.2648,0.1676,9,p,
INSL4|3641_calculated,0.2567,0.722,9,p,
FRMPD1|22844_calculated,0.2507,0.1188,9,p,
CCIN|881_calculated,0.2443,0.0778,9,p,
SCARNA8|677776_calculated,0.2314,0.2157,9,p,
ANKRD18B|441459_calculated,0.2119,0.284,9,p,
FOXD4|2298_calculated,0.1969,0.3116,9,p,
WASH1|100287171|1of2_calculated,0.196,0.1907,9,p,
ATP8B5P|158381_calculated,0.1662,0.1789,9,p,
CNTNAP3B|728577|2of2_calculated,0.1581,0.0346,9,p,
IFNE|338376_calculated,0.1326,0.2558,9,p,
RLN1|6013_calculated,0.112,0.1308,9,p,
LINGO2|158038_calculated,0.0993,0.059,9,p,
SLC24A2|25769_calculated,0.0797,0.0871,9,p,
ELAVL2|1993_calculated,0.0796,0.0347,9,p,
MIR4540|100616278_calculated,0.079,0.0142,9,p,
MIR101-2|406894_calculated,0.0757,0.0566,9,p,
DMRT2|10655_calculated,0.0629,0.1011,9,p,
CCL27|10850_calculated,0.0604,0.0595,9,p,
ARID3C|138715_calculated,0.0566,0.083,9,p,
IFNK|56832_calculated,0.0558,0.103,9,p,
KCNV2|169522_calculated,0.0541,0.0551,9,p,
DMRT3|58524_calculated,0.052,0.1604,9,p,
MIR491|574444_calculated,0.0508,0.0217,9,p,
FAM27C|100132948_calculated,0.0453,0.0532,9,p,
LINC00032|158035_calculated,0.0342,0.0246,9,p,
INSL6|11172_calculated,0.0309,0.1412,9,p,
FAM221B|392307_calculated,0.0302,0.0449,9,p,
TMEM215|401498_calculated,0.0268,0.0208,9,p,
C9orf53|51198_calculated,0.0228,0.0394,9,p,
OR13J1|392309_calculated,0.0208,0.0136,9,p,
IFNA21|3452_calculated,0.0197,0.0095,9,p,
FAM154A|158297_calculated,0.0188,0.022,9,p,
FAM205A|259308_calculated,0.0178,0.0053,9,p,
IFNA1|3439_calculated,0.0157,0.0242,9,p,
MIR31|407035_calculated,0.0145,0.017,9,p,
IFNW1|3467_calculated,0.014,0.0045,9,p,
DNAI1|27019_calculated,0.0131,0.0368,9,p,
DMRT1|1761_calculated,0.0128,0.0225,9,p,
DDX11L5|100287596_calculated,0.0118,0.016,9,p,
ANKRD20A2|441430|2of2_calculated,0.0103,0.028,9,p,
IFNB1|3456_calculated,0.0098,0.0144,9,p,
OR2S2|56656_calculated,0.0096,0.0103,9,p,
IFNA22P|3453_calculated,0.0089,0.0071,9,p,
ANKRD20A2|441430|1of2_calculated,0.0085,0.0143,9,p,
TAF1L|138474_calculated,0.0077,0.0106,9,p,
IFNA5|3442_calculated,0.0076,0.0021,9,p,
LINC00583|100113404_calculated,0.0065,0.0019,9,p,
MIR876|100126310_calculated,0.0052,0.0009,9,p,
FAM74A3|728495_calculated,0.0045,0.0022,9,p,
FAM205B|389715_calculated,0.0039,0.0054,9,p,
TPD52L3|89882_calculated,0.0035,0.0046,9,p,
IFNA2|3440_calculated,0.0027,0.002,9,p,
FAM138C|654835_calculated,0.0025,0.0013,9,p,
FAM95B1|100133036|1of2_calculated,0.0024,0.0029,9,p,
IFNA8|3445_calculated,0.0019,0.0027,9,p,
IFNA6|3443_calculated,0.0016,0.0017,9,p,
IFNA7|3444_calculated,0.0016,0.0016,9,p,
IFNA13|3447_calculated,0.0013,0.0022,9,p,
IFNA4|3441_calculated,0.0013,0.0013,9,p,
FAM95B1|100133036|2of2_calculated,0.0012,0.0009,9,p,
IFNA16|3449_calculated,0.0012,0.0007,9,p,
IFNA14|3448_calculated,0.0009,0.0016,9,p,
IFNA17|3451_calculated,0.0009,0.0014,9,p,
