gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
KDM5C|8242_calculated,16.7557,19.5629,X,p,11.22-
SMC1A|8243_calculated,11.4978,15.3462,X,p,11.22-
TRO|7216_calculated,1.3684,0.5279,X,p,11.22-
NUDT11|55190_calculated,0.9706,0.3123,X,p,11.22-
NUDT10|170685_calculated,0.8891,0.1821,X,p,11.22-
ITIH6|347365_calculated,0.0359,0.0666,X,p,11.22-
XAGE2|9502|1of2_calculated,0,0.0001,X,p,11.22-
XAGE2|9502|2of2_calculated,0,0,X,p,11.22-
UXT|8409_calculated,60.4557,79.267,X,p,11.23-
EBP|10682_calculated,12.6971,36.0755,X,p,11.23-
SLC35A2|7355_calculated,8.4659,16.473,X,p,11.23-
SYP|6855_calculated,2.9276,2.4001,X,p,11.23-
CLCN5|1184_calculated,1.8281,2.52,X,p,11.23-
TIMP1|7076_calculated,388.6145,292.7132,X,p,11.3-
DDX3X|1654_calculated,40.347,37.351,X,p,11.3-
ARAF|369_calculated,30.7327,36.0476,X,p,11.3-
CXorf36|79742_calculated,4.6699,2.0043,X,p,11.3-
ZNF630|57232_calculated,1.1131,0.963,X,p,11.3-
MAOA|4128_calculated,21.3971,19.6765,X,p,11.4-
MAOB|4129_calculated,21.2888,8.3303,X,p,11.4-
WAS|7454_calculated,10.7628,9.8105,X,p,11.4-
INE1|8552_calculated,1.0976,0.7874,X,p,11.4-
NDP|4693_calculated,0.389,0.2386,X,p,11.4-
DUSP21|63904_calculated,0.0058,0.0301,X,p,11.4-
SH3KBP1|30011_calculated,13.3214,14.5477,X,p,22.1-
ZFX|7543_calculated,7.0189,4.8971,X,p,22.1-
KLHL15|80311_calculated,3.9128,2.1765,X,p,22.1-
POLA1|5422_calculated,3.7964,4.6688,X,p,22.1-
IL1RAPL1|11141_calculated,0.1471,0.0668,X,p,22.1-
MBTPS2|51360_calculated,5.0694,4.7103,X,p,22.12-
EIF2S3|1968_calculated,53.1099,59.3573,X,p,22.2-
RPS6KA3|6197_calculated,13.8516,11.9609,X,p,22.2-
SMPX|23676_calculated,12.3262,0.9021,X,p,22.2-
PHKA2|5256_calculated,4.4698,4.5934,X,p,22.2-
YY2|404281_calculated,1.077,0.8137,X,p,22.2-
PHEX|5251_calculated,0.1302,0.1068,X,p,22.2-
RS1|6247_calculated,0.0394,0.0273,X,p,22.2-
ASMTL|8623_calculated,10.9095,8.8859,X,p,22.3 and Y
IL3RA|3563_calculated,6.9148,4.0357,X,p,22.3 and Y
PPP2R3B|28227_calculated,2.2276,3.055,X,p,22.3 and Y
ASMT|438_calculated,1.6118,1.7842,X,p,22.3 and Y
CRLF2|64109_calculated,1.0547,0.7453,X,p,22.3 and Y
NHS|4810_calculated,2.9594,2.5238,X,p,22.3-
AMELX|265_calculated,0.1021,0.13,X,p,22.31-
SLC25A6|293_calculated,363.2727,411.7852,X,p,22.32 and Y
CD99|4267_calculated,140.4658,108.8735,X,p,22.32 and Y
CSF2RA|1438_calculated,3.9111,3.4677,X,p,22.32 and Y
MIR3690|100500894_calculated,0.2642,0.11,X,p,22.32 and Y
ZBED1|9189_calculated,16.0852,16.7305,X,p,22.33 and Y
GTPBP6|8225_calculated,11.0741,12.8914,X,p,22.33 and Y
AKAP17A|8227_calculated,9.5039,10.0914,X,p,22.33 and Y
DHRSX|207063_calculated,8.0779,10.3876,X,p,22.33 and Y
P2RY8|286530_calculated,4.5846,3.5517,X,p,22.33 and Y
PLCXD1|55344_calculated,4.1858,6.3815,X,p,22.33 and Y
ASMTL-AS1|80161_calculated,1.6533,1.2358,X,p,22.33 and Y
CD99P1|401577_calculated,1.5827,1.5109,X,p,22.33 and Y
LINC00102|100359394_calculated,0.0938,0.0519,X,p,22.33 and Y
SHOX|6473_calculated,0.0151,0.0162,X,p,22.33 and Y
TMSB4X|7114_calculated,1561.1051,1418.0327,X,p,
PLP2|5355_calculated,177.2579,233.479,X,p,
SAT1|6303_calculated,106.6687,169.2041,X,p,
UBA1|7317_calculated,71.4546,99.7856,X,p,
NDUFB11|54539_calculated,58.5961,82.5473,X,p,
ATP6AP2|10159_calculated,58.4081,60.2461,X,p,
PRDX4|10549_calculated,55.1427,95.4677,X,p,
MAGED1|9500_calculated,53.1546,52.0848,X,p,
MAGED2|10916_calculated,48.1042,38.6207,X,p,
RBBP7|5931_calculated,37.1197,38.7697,X,p,
HSD17B10|3028_calculated,37.0324,56.1796,X,p,
MXRA5|25878_calculated,34.7565,28.7354,X,p,
RBM3|5935_calculated,34.2179,36.8732,X,p,
SMS|6611_calculated,29.9181,41.1213,X,p,
TIMM17B|10245_calculated,28.7471,47.6255,X,p,
HUWE1|10075_calculated,28.4295,27.3042,X,p,
UBQLN2|29978_calculated,28.3838,21.4688,X,p,
USP11|8237_calculated,26.0579,18.7533,X,p,
