gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
ZFY|7544_calculated,1.7023,1.0871,Y,p,
PRKY|5616_calculated,0.9933,0.5792,Y,p,
PCDH11Y|83259_calculated,0.0349,0.0045,Y,p,
TBL1Y|90665_calculated,0.0264,0.0423,Y,p,
SRY|6736_calculated,0.0225,0.0385,Y,p,
TTTY16|252948_calculated,0.0058,0.0041,Y,p,
TTTY18|252950_calculated,0.0045,0.0022,Y,p,
AMELY|266_calculated,0.0044,0.0068,Y,p,
TTTY13|83868_calculated,0.0042,0.0059,Y,p,
TGIF2LY|90655_calculated,0.0033,0.0016,Y,p,
TTTY11|83866_calculated,0.0031,0.001,Y,p,
TSPY2|64591_calculated,0.0024,0.0034,Y,p,
TSPY1|7258_calculated,0.0018,0.0015,Y,p,
RBMY1A3P|286557_calculated,0.0016,0.0065,Y,p,
TSPY3|728137|1of3_calculated,0.001,0.0103,Y,p,
TTTY7|246122|1of2_calculated,0.0005,0.0001,Y,p,
TSPY3|728137|2of3_calculated,0.0003,0.0026,Y,p,
RBMY3AP|64593_calculated,0,0.0002,Y,p,
TSPY3|728137|3of3_calculated,0,0.0001,Y,p,
TSPY4|728395|1of2_calculated,0,0,Y,p,
TSPY4|728395|2of2_calculated,0,0.0002,Y,p,
TSPY8|728403_calculated,0,0.0003,Y,p,
TTTY12|83867_calculated,0,0,Y,p,
TTTY19|252952_calculated,0,0.0032,Y,p,
TTTY1B|100101116|1of2_calculated,0,0,Y,p,
TTTY1B|100101116|2of2_calculated,0,0,Y,p,
TTTY20|252951_calculated,0,0.0004,Y,p,
TTTY21|252953|1of2_calculated,0,0,Y,p,
TTTY21|252953|2of2_calculated,0,0,Y,p,
TTTY22|252954_calculated,0,0.0009,Y,p,
TTTY23|252955|1of2_calculated,0,0,Y,p,
TTTY23|252955|2of2_calculated,0,0,Y,p,
TTTY2|60439|1of2_calculated,0,0,Y,p,
TTTY2|60439|2of2_calculated,0,0,Y,p,
TTTY7|246122|2of2_calculated,0,0.0001,Y,p,
TTTY8|84673|1of2_calculated,0,0,Y,p,
TTTY8|84673|2of2_calculated,0,0,Y,p,
EIF1AY|9086_calculated,8.6378,5.7298,Y,q,
DDX3Y|8653_calculated,7.2442,3.0727,Y,q,
KDM5D|8284_calculated,5.051,2.3278,Y,q,
USP9Y|8287_calculated,1.78,0.7652,Y,q,
NLGN4Y|22829_calculated,1.5168,0.4172,Y,q,
UTY|7404_calculated,1.3326,0.8302,Y,q,
TTTY14|83869|2of2_calculated,0.9665,0.9191,Y,q,
TTTY15|64595_calculated,0.6097,0.4719,Y,q,
TMSB4Y|9087_calculated,0.4633,0.3716,Y,q,
TTTY14|83869|1of2_calculated,0.447,0.3241,Y,q,
GYG2P1|352887_calculated,0.3435,0.693,Y,q,
BCORP1|286554_calculated,0.071,0.0377,Y,q,
TTTY10|246119_calculated,0.0646,0.0118,Y,q,
RBMY2EP|159125_calculated,0.0522,0.0307,Y,q,
DAZ1|1617_calculated,0.0253,0.0344,Y,q,
DAZ2|57055_calculated,0.0177,0.0223,Y,q,
RPS4Y2|140032_calculated,0.0105,0.0082,Y,q,
DAZ4|57135_calculated,0.004,0.0063,Y,q,
HSFY2|159119_calculated,0.0014,0.0002,Y,q,
DAZ3|57054_calculated,0.0012,0.0009,Y,q,
RBMY2FP|159162_calculated,0.0007,0.0004,Y,q,
GOLGA2P2Y|84559|1of2_calculated,0.0004,0.0001,Y,q,
CDY2B|203611_calculated,0.0003,0.0001,Y,q,
GOLGA2P2Y|84559|2of2_calculated,0.0001,0.0001,Y,q,
TTTY9A|83864|2of2_calculated,0.0001,0,Y,q,
BPY2|9083|1of3_calculated,0,0,Y,q,
BPY2|9083|2of3_calculated,0,0,Y,q,
BPY2|9083|3of3_calculated,0,0,Y,q,
CDY1|9085|1of2_calculated,0,0,Y,q,
CDY1|9085|2of2_calculated,0,0,Y,q,
CDY2A|9426_calculated,0,0.0001,Y,q,
CSPG4P1Y|114758|1of2_calculated,0,0,Y,q,
CSPG4P1Y|114758|2of2_calculated,0,0,Y,q,
FAM41AY1|340618|1of2_calculated,0,0,Y,q,
FAM41AY1|340618|2of2_calculated,0,0,Y,q,
HSFY1|86614_calculated,0,0,Y,q,
PRY|9081|1of4_calculated,0,0.0005,Y,q,
PRY|9081|2of4_calculated,0,0,Y,q,
PRY|9081|3of4_calculated,0,0,Y,q,
PRY|9081|4of4_calculated,0,0,Y,q,
RBMY1B|378948_calculated,0,0.0002,Y,q,
RBMY1D|378949|1of2_calculated,0,0,Y,q,
RBMY1D|378949|2of2_calculated,0,0.0001,Y,q,
RBMY1F|159163_calculated,0,0,Y,q,
TTTY17A|252949|1of3_calculated,0,0,Y,q,
TTTY17A|252949|2of3_calculated,0,0,Y,q,
TTTY17A|252949|3of3_calculated,0,0,Y,q,
TTTY3|114760|1of2_calculated,0,0,Y,q,
TTTY3|114760|2of2_calculated,0,0,Y,q,
TTTY4|114761|1of3_calculated,0,0,Y,q,
TTTY4|114761|2of3_calculated,0,0,Y,q,
TTTY4|114761|3of3_calculated,0,0,Y,q,
TTTY5|83863_calculated,0,0.0003,Y,q,
TTTY6|84672|1of2_calculated,0,0,Y,q,
TTTY6|84672|2of2_calculated,0,0,Y,q,
TTTY9A|83864|1of2_calculated,0,0,Y,q,
VCY1B|353513_calculated,0,0,Y,q,
VCY|9084_calculated,0,0,Y,q,
XKRY|9082|1of2_calculated,0,0,Y,q,
XKRY|9082|2of2_calculated,0,0,Y,q,
