gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
BC018860|?_calculated,24812.9327,19698.6492,,,
STRF6|?_calculated,18720.884,14202.2186,,,
OK/SW-cl.16|?_calculated,13672.1088,12151.1169,,,
cytochrome_b|?_calculated,12800.3848,8670.5872,,,
JA040725|?_calculated,12375.6901,10648.9418,,,
TVAS5|?_calculated,11166.8059,9445.9223,,,
AD_1|?_calculated,7585.0828,5203.0193,,,
JA040723|?_calculated,5220.9284,3183.6099,,,
DQ590013|?|1of2_calculated,3605.2425,2001.1237,,,
DD181999|?_calculated,2050.1554,1388.8544,,,
tRNA_Pro|?|1of20_calculated,1974.7049,2275.3102,,,
JA429504|?|1of4_calculated,1788.4225,1404.5668,,,
Metazoa_SRP|?|35of109_calculated,1276.8148,944.4363,,,
AF079515|?_calculated,1193.7485,1057.0295,,,
DQ582201|?_calculated,1150.18,937.7625,,,
AF113016|?_calculated,909.7993,513.8324,,,
DM074112|?_calculated,856.7812,435.9413,,,
Metazoa_SRP|?|38of109_calculated,827.4845,541.9784,,,
DJ439574|?_calculated,454.9369,835.2345,,,
JA429505|?|1of2_calculated,451.851,262.8676,,,
DKFZp686O16217|?_calculated,407.488,1297.592,,,
BC078172|?_calculated,392.2892,222.9775,,,
abParts|?|6of6_calculated,380.9304,658.5325,,,
AX748062|?_calculated,360.8249,57.4002,,,
DJ439566|?_calculated,358.4964,653.1309,,,
abParts|?|4of6_calculated,295.5917,330.5706,,,
DJ439529|?_calculated,277.5626,507.3362,,,
DQ582265|?|1of2_calculated,261.4503,115.7156,,,
DJ439575|?|1of2_calculated,246.2829,442.4523,,,
DJ439579|?_calculated,233.7757,388.7719,,,
SELM|140606_calculated,227.185,80.4102,,,
JA375062|?|1of2_calculated,198.1603,387.5561,,,
PKM2|5315_calculated,195.0986,368.347,,,
AK293147|?_calculated,169.8342,255.3676,,,
DJ439531|?_calculated,144.2042,243.8557,,,
DD182001|?_calculated,140.2412,78.0974,,,
DJ417906|?_calculated,140.0993,110.7328,,,
DJ417913|?_calculated,138.8239,103.2185,,,
DM075093|?_calculated,138.578,327.5996,,,
C11orf10|746_calculated,133.6349,185.4441,,,
BC015662|?_calculated,123.1723,323.2945,,,
abParts|?|3of6_calculated,118.866,211.8392,,,
TMEM66|51669_calculated,110.4901,118.2438,,,
CSDA|8531_calculated,106.187,83.3126,,,
LOC284889|284889_calculated,99.075,209.8629,,,
CCDC72|51372_calculated,87.8441,111.4645,,,
abParts|?|1of6_calculated,81.0811,170.0703,,,
LOC255130|255130_calculated,77.9881,37.3611,,,
LOC647979|647979_calculated,75.3396,63.2085,,,
C17orf76-AS1|125144_calculated,72.1518,109.3049,,,
C2orf28|51374_calculated,69.5341,76.191,,,
C10orf116|10974_calculated,69.2599,68.5736,,,
JA429831|?|1of3_calculated,68.7036,50.397,,,
HBXIP|10542_calculated,68.2954,84.5303,,,
DQ584698|?_calculated,66.994,58.7534,,,
SF3B14|51639_calculated,66.2034,86.5856,,,
Y16709|?_calculated,65.6149,94.8462,,,
SEP15|9403_calculated,61.9637,78.476,,,
C19orf21|126353_calculated,61.6619,102.1582,,,
C7orf59|389541_calculated,60.5093,75.4995,,,
C19orf63|284361_calculated,59.5631,84.0964,,,
MIR3687|100500815_calculated,58.5581,85.3456,,,
AK097625|?_calculated,56.1357,82.1843,,,
BC073897|?_calculated,55.2703,17.033,,,
C19orf77|284422_calculated,54.0423,129.9519,,,
FU270182|?_calculated,51.2521,74.9548,,,
ZNFX1-AS1|441951_calculated,51.0357,79.8768,,,
FU270198|?_calculated,50.7724,73.6374,,,
CNIH|10175_calculated,50.0823,58.4747,,,
CTSL1|1514_calculated,49.5076,41.0883,,,
DQ597473|?_calculated,49.3189,64.3998,,,
FU270201|?_calculated,48.8642,77.7101,,,
FU270200|?_calculated,48.3917,69.639,,,
DQ599569|?_calculated,47.6922,71.7489,,,
FU270202|?_calculated,46.9265,74.2299,,,
C7orf42|55069_calculated,46.5877,43.4084,,,
C1orf144|26099_calculated,45.7654,49.8356,,,
FU270185|?_calculated,45.5612,73.0779,,,
FU270193|?_calculated,45.1035,64.5935,,,
FU270186|?_calculated,44.0434,71.0085,,,
LOC550643|550643_calculated,43.8705,41.3392,,,
DQ600312|?_calculated,43.8363,46.5758,,,
SELK|58515_calculated,43.8297,47.5834,,,
DM110804|?_calculated,43.572,70.4456,,,
C11orf2|738_calculated,43.5718,45.0099,,,
FU270179|?_calculated,43.5599,69.3665,,,
FU270192|?_calculated,42.5963,64.097,,,
FU270195|?_calculated,42.028,67.642,,,
FU270191|?_calculated,41.9321,66.1051,,,
NR_026754|100270710_calculated,41.0805,19.1767,,,
C6orf108|10591_calculated,40.0708,65.1682,,,
DJ439583|?_calculated,39.969,78.0204,,,
C15orf63|25764_calculated,39.8702,52.3814,,,
KIAA0494|9813_calculated,39.7839,35.5649,,,
C19orf6|91304_calculated,39.0271,47.63,,,
AK309441|?_calculated,38.8953,12.9108,,,
C15orf24|56851_calculated,37.8943,45.1147,,,
immunoglobulin_heavy_chain|?_calculated,37.7987,83.3499,,,
DKFZp434J194|?_calculated,36.6337,40.9609,,,
FU270211|?_calculated,36.5233,50.9584,,,
AK294004|?_calculated,36.1684,77.6463,,,
FAM100B|283991_calculated,35.904,63.767,,,
AK097472|?_calculated,35.0987,55.9279,,,
HNRPDL|9987_calculated,34.9565,31.832,,,
NR_027081|100271831_calculated,34.6966,53.6438,,,
CHCHD8|51287_calculated,34.2791,53.1176,,,
AK126266|?|1of2_calculated,33.8514,13.813,,,
C17orf61|254863_calculated,33.6147,43.7005,,,
JA429830|?|1of2_calculated,33.5711,30.6164,,,
AL832909|?_calculated,33.3417,6.259,,,
AK092965|?_calculated,32.9682,27.5336,,,
AK096279|?_calculated,32.9306,24.8059,,,
C20orf43|51507_calculated,32.6476,39.8917,,,
AX813477|?_calculated,32.6086,32.6482,,,
MIR3648|100500862_calculated,32.4039,49.8529,,,
DL476309|?_calculated,32.385,38.155,,,
DL476366|?_calculated,32.1033,38.2421,,,
DQ593252|?_calculated,32.0833,17.5232,,,
WDR45L|56270_calculated,31.9237,47.3829,,,
C19orf79|100131801_calculated,30.9794,36.5588,,,
TCRBV3S1|?_calculated,30.9381,25.5699,,,
C20orf3|57136_calculated,30.8466,46.5198,,,
NAPRT1|93100_calculated,30.8215,67.8555,,,
DQ594798|?_calculated,30.8046,29.0219,,,
UQCRHL|440567_calculated,29.944,48.7064,,,
DL476313|?_calculated,29.293,34.9071,,,
C22orf13|83606_calculated,29.1323,37.3665,,,
TMEM85|51234_calculated,29.1222,30.5774,,,
ATP1A1OS|84852_calculated,29.0277,46.3798,,,
C16orf42|115939_calculated,29.0084,32.8512,,,
DARC|2532_calculated,28.4842,7.5124,,,
DL476358|?_calculated,28.3677,33.536,,,
RDBP|7936_calculated,28.1162,40.9054,,,
LSMD1|84316_calculated,27.4213,33.2081,,,
C22orf28|51493_calculated,27.3341,36.2619,,,
FU270189|?_calculated,27.3317,37.5462,,,
GLT25D1|79709_calculated,27.0728,33.3146,,,
C17orf79|55352_calculated,26.6716,25.9107,,,
DD157417|?|1of2_calculated,25.8383,21.0794,,,
