gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
BC018860|?_calculated,24812.9327,19698.6492,,,
STRF6|?_calculated,18720.884,14202.2186,,,
OK/SW-cl.16|?_calculated,13672.1088,12151.1169,,,
cytochrome_b|?_calculated,12800.3848,8670.5872,,,
JA040725|?_calculated,12375.6901,10648.9418,,,
TVAS5|?_calculated,11166.8059,9445.9223,,,
AD_1|?_calculated,7585.0828,5203.0193,,,
JA040723|?_calculated,5220.9284,3183.6099,,,
MT-ND5|4540_calculated,4056.9212,2310.2934,mitochondria,,
ACTB|60_calculated,4008.9796,3012.0267,7,p,
DQ590013|?|1of2_calculated,3605.2425,2001.1237,,,
MYL9|10398_calculated,2739.3368,299.1312,20,q,
DES|1674_calculated,2507.3146,186.3599,2,q,
ACTG2|72_calculated,2169.1035,136.9224,2,p,
DD181999|?_calculated,2050.1554,1388.8544,,,
tRNA_Pro|?|1of20_calculated,1974.7049,2275.3102,,,
RPLP1|6176_calculated,1871.9509,2157.3051,15,q,
JA429504|?|1of4_calculated,1788.4225,1404.5668,,,
PGC|5225_calculated,1682.9445,2401.6369,6,p,
CD74|972_calculated,1651.0728,2140.5576,5,q,
TMSB4X|7114_calculated,1561.1051,1418.0327,X,p,
RPL27|6155_calculated,1520.909,1528.7798,17,q,
ACTG1|71_calculated,1491.839,2075.4266,17,q,
B2M|567_calculated,1475.2502,1849.2798,15,q,21-
TPT1|7178_calculated,1405.2412,1513.0518,13,q,
FTL|2512_calculated,1382.7791,1800.5877,19,q,
GAPDH|2597_calculated,1375.8034,2569.6558,12,p,
RPS11|6205_calculated,1319.1545,1591.5651,19,q,
Metazoa_SRP|?|35of109_calculated,1276.8148,944.4363,,,
RPS6|6194_calculated,1209.05,1602.913,9,p,
AF079515|?_calculated,1193.7485,1057.0295,,,
MYH11|4629_calculated,1181.7274,65.4523,16,p,
FLNA|2316_calculated,1162.9335,157.6572,X,q,
DQ582201|?_calculated,1150.18,937.7625,,,
LYZ|4069_calculated,1145.4643,1971.4133,12,q,
TMSB10|9168_calculated,1142.2601,1949.8254,2,p,
RPS8|6202_calculated,1138.097,1297.4446,1,p,34.1-
TAGLN|6876_calculated,1130.0537,149.7365,11,q,
IGHG1|3500_calculated,1094.4839,1420.2366,14,q,
RPLP2|6181_calculated,1059.1503,1336.7259,11,p,
COL1A1|1277_calculated,1053.5233,716.2972,17,q,
RPL19|6143_calculated,1052.2614,1326.3456,17,q,
RPL11|6135_calculated,1047.4002,1101.6828,1,p,36.1-
EEF2|1938_calculated,1035.9012,918.1108,19,p,
CNN1|1264_calculated,1030.2805,67.5189,19,p,13.2-
HSPB6|126393_calculated,986.9955,54.8528,19,q,
IFITM3|10410_calculated,946.7479,944.2546,11,p,
AF113016|?_calculated,909.7993,513.8324,,,
RPS12|6206_calculated,909.572,1012.5373,6,q,
PFN1|5216_calculated,903.9831,1053.5548,17,p,
RPS16|6217_calculated,877.6473,1097.748,19,q,
DM074112|?_calculated,856.7812,435.9413,,,
LIPF|8513_calculated,844.8457,710.9182,10,q,
HSPB1|3315_calculated,834.0851,614.9751,7,q,
Metazoa_SRP|?|38of109_calculated,827.4845,541.9784,,,
TPM2|7169_calculated,812.8978,96.664,9,p,
FTH1|2495_calculated,806.0687,1138.9085,11,q,
UBB|7314_calculated,787.9751,945.1169,17,p,12-
RPL35|11224_calculated,787.4886,972.6529,9,q,
RPS4X|6191_calculated,773.6708,854.7971,X,q,
RPS14|6208_calculated,767.7245,860.4168,5,q,31-
RPS5|6193_calculated,764.3162,1027.4815,19,q,
IGFBP7|3490_calculated,752.1638,342.2785,4,q,
COL3A1|1281_calculated,731.1284,358.434,2,q,
ACTA2|59_calculated,716.7129,112.2984,10,q,
S100A6|6277_calculated,716.6527,1198.7963,1,q,
RPS18|6222_calculated,687.2286,925.8197,6,p,
RPL8|6132_calculated,668.7753,1037.328,8,q,
S100A11|6282_calculated,657.997,1472.6079,1,q,
PPDPF|79144_calculated,613.1172,912.5878,20,q,
MALAT1|378938_calculated,611.128,341.7647,11,q,
RPL26|6154_calculated,608.3709,599.2738,17,p,
LGALS1|3956_calculated,591.594,311.3841,22,q,
VIM|7431_calculated,588.2435,312.5335,10,p,
PABPC1|26986_calculated,583.4786,811.3484,8,q,22.2-
MYL6|4637_calculated,577.6878,310.9692,12,q,
RPL35A|6165_calculated,573.4476,648.7835,3,q,
HLA-DRA|3122_calculated,571.5333,703.2675,6,p,
CD24|100133941_calculated,565.1888,809.1614,6,q,
RPS13|6207_calculated,559.2965,653.2201,11,p,
RPS25|6230_calculated,551.659,630.4072,11,q,
COL1A2|1278_calculated,548.1548,349.5617,7,q,
HLA-C|3107_calculated,545.1921,850.4936,6,p,
IGFBP4|3487_calculated,533.186,180.5682,17,q,12-
RPL36|25873_calculated,522.1172,645.7004,19,p,
RPL29|6159_calculated,520.6943,717.0429,3,p,21.3-
RPS20|6224_calculated,514.6275,597.1567,8,q,
RPS15|6209_calculated,510.9592,721.8311,19,p,
DSTN|11034_calculated,503.3793,181.0158,20,p,
RPL13A|23521_calculated,497.9461,584.4424,19,q,
RPL24|6152_calculated,497.285,554.5522,3,q,
MGP|4256_calculated,487.5663,102.2527,12,p,
RPLP0|6175_calculated,478.9245,734.9842,12,q,
CFL1|1072_calculated,476.9811,774.3799,11,q,
RPL30|6156_calculated,476.2387,541.0815,8,q,
REG1A|5967_calculated,470.6644,785.9879,2,p,
PSAP|5660_calculated,463.5547,459.4008,10,q,21-
DJ439574|?_calculated,454.9369,835.2345,,,
TFF1|7031_calculated,452.8751,1831.6808,21,q,
SPARC|6678_calculated,452.6498,314.5317,5,q,31-
JA429505|?|1of2_calculated,451.851,262.8676,,,
RPS19|6223_calculated,444.4187,683.1142,19,q,
RPS29|6235_calculated,437.953,455.4417,14,q,
KRT8|3856_calculated,428.8307,1065.061,12,q,
HSP90AB1|3326_calculated,423.7928,515.8278,6,p,
ITM2B|9445_calculated,421.6829,400.4403,13,q,
CD63|967_calculated,419.391,435.8195,12,q,12-
RPL12|6136_calculated,413.3544,577.4981,9,q,
RHOB|388_calculated,409.1106,126.1811,2,p,
LUM|4060_calculated,408.3466,192.132,12,q,
DCN|1634_calculated,408.1971,127.7194,12,q,
DKFZp686O16217|?_calculated,407.488,1297.592,,,
RPL37|6167_calculated,407.0476,494.3716,5,p,
RPL7A|6130_calculated,398.9206,497.4509,9,q,
CTSD|1509_calculated,395.4785,637.7299,11,p,
RPL3|6122_calculated,394.9511,434.7842,22,q,
PTMA|5757_calculated,393.3683,603.939,2,q,
BC078172|?_calculated,392.2892,222.9775,,,
TIMP1|7076_calculated,388.6145,292.7132,X,p,11.3-
COX7C|1350_calculated,388.0392,410.211,5,q,
ZFP36|7538_calculated,382.4695,217.2793,19,q,
TXNIP|10628_calculated,381.1463,133.795,1,q,
abParts|?|6of6_calculated,380.9304,658.5325,,,
RPL37A|6168_calculated,380.7972,448.0153,2,q,
GKN1|56287_calculated,374.3525,1564.063,2,p,
OST4|100128731_calculated,370.8864,457.7049,2,p,
RPL10A|4736_calculated,368.9604,390.535,6,p,
RPS3|6188_calculated,368.8298,498.9891,11,q,13.3-
