gene,rpkm_normal,rpkm_tumoral,chromosome,p_or_q,locus
BC018860|?_calculated,24812.9327,19698.6492,,,
STRF6|?_calculated,18720.884,14202.2186,,,
OK/SW-cl.16|?_calculated,13672.1088,12151.1169,,,
JA040725|?_calculated,12375.6901,10648.9418,,,
TVAS5|?_calculated,11166.8059,9445.9223,,,
cytochrome_b|?_calculated,12800.3848,8670.5872,,,
AD_1|?_calculated,7585.0828,5203.0193,,,
JA040723|?_calculated,5220.9284,3183.6099,,,
ACTB|60_calculated,4008.9796,3012.0267,7,p,
GAPDH|2597_calculated,1375.8034,2569.6558,12,p,
PGC|5225_calculated,1682.9445,2401.6369,6,p,
MT-ND5|4540_calculated,4056.9212,2310.2934,mitochondria,,
tRNA_Pro|?|1of20_calculated,1974.7049,2275.3102,,,
RPLP1|6176_calculated,1871.9509,2157.3051,15,q,
CD74|972_calculated,1651.0728,2140.5576,5,q,
ACTG1|71_calculated,1491.839,2075.4266,17,q,
DQ590013|?|1of2_calculated,3605.2425,2001.1237,,,
LYZ|4069_calculated,1145.4643,1971.4133,12,q,
TMSB10|9168_calculated,1142.2601,1949.8254,2,p,
B2M|567_calculated,1475.2502,1849.2798,15,q,21-
TFF1|7031_calculated,452.8751,1831.6808,21,q,
FTL|2512_calculated,1382.7791,1800.5877,19,q,
RPS6|6194_calculated,1209.05,1602.913,9,p,
RPS11|6205_calculated,1319.1545,1591.5651,19,q,
GKN1|56287_calculated,374.3525,1564.063,2,p,
RPL27|6155_calculated,1520.909,1528.7798,17,q,
TPT1|7178_calculated,1405.2412,1513.0518,13,q,
S100A11|6282_calculated,657.997,1472.6079,1,q,
IGHG1|3500_calculated,1094.4839,1420.2366,14,q,
TMSB4X|7114_calculated,1561.1051,1418.0327,X,p,
JA429504|?|1of4_calculated,1788.4225,1404.5668,,,
DD181999|?_calculated,2050.1554,1388.8544,,,
RPLP2|6181_calculated,1059.1503,1336.7259,11,p,
RPL19|6143_calculated,1052.2614,1326.3456,17,q,
DKFZp686O16217|?_calculated,407.488,1297.592,,,
RPS8|6202_calculated,1138.097,1297.4446,1,p,34.1-
S100A6|6277_calculated,716.6527,1198.7963,1,q,
FTH1|2495_calculated,806.0687,1138.9085,11,q,
RPL11|6135_calculated,1047.4002,1101.6828,1,p,36.1-
RPS16|6217_calculated,877.6473,1097.748,19,q,
KRT8|3856_calculated,428.8307,1065.061,12,q,
AF079515|?_calculated,1193.7485,1057.0295,,,
PFN1|5216_calculated,903.9831,1053.5548,17,p,
RPL8|6132_calculated,668.7753,1037.328,8,q,
RPS5|6193_calculated,764.3162,1027.4815,19,q,
RPS12|6206_calculated,909.572,1012.5373,6,q,
RPL35|11224_calculated,787.4886,972.6529,9,q,
UBB|7314_calculated,787.9751,945.1169,17,p,12-
Metazoa_SRP|?|35of109_calculated,1276.8148,944.4363,,,
IFITM3|10410_calculated,946.7479,944.2546,11,p,
DQ582201|?_calculated,1150.18,937.7625,,,
RPS18|6222_calculated,687.2286,925.8197,6,p,
EEF2|1938_calculated,1035.9012,918.1108,19,p,
PPDPF|79144_calculated,613.1172,912.5878,20,q,
AGR2|10551_calculated,353.6311,871.6186,7,p,
RPS14|6208_calculated,767.7245,860.4168,5,q,31-
RPS4X|6191_calculated,773.6708,854.7971,X,q,
HLA-C|3107_calculated,545.1921,850.4936,6,p,
IGJ|3512_calculated,304.6528,842.5077,4,q,
DJ439574|?_calculated,454.9369,835.2345,,,
PABPC1|26986_calculated,583.4786,811.3484,8,q,22.2-
CD24|100133941_calculated,565.1888,809.1614,6,q,
REG1A|5967_calculated,470.6644,785.9879,2,p,
OLFM4|10562_calculated,364.565,782.1145,13,q,
CFL1|1072_calculated,476.9811,774.3799,11,q,
RPLP0|6175_calculated,478.9245,734.9842,12,q,
RPS15|6209_calculated,510.9592,721.8311,19,p,
RPL29|6159_calculated,520.6943,717.0429,3,p,21.3-
COL1A1|1277_calculated,1053.5233,716.2972,17,q,
LIPF|8513_calculated,844.8457,710.9182,10,q,
HLA-DRA|3122_calculated,571.5333,703.2675,6,p,
MIF|4282_calculated,328.5486,698.4713,22,q,
RPS19|6223_calculated,444.4187,683.1142,19,q,
SPRR3|6707_calculated,51.6767,678.5977,1,q,21-
abParts|?|6of6_calculated,380.9304,658.5325,,,
RPS13|6207_calculated,559.2965,653.2201,11,p,
DJ439566|?_calculated,358.4964,653.1309,,,
RPL35A|6165_calculated,573.4476,648.7835,3,q,
RPL36|25873_calculated,522.1172,645.7004,19,p,
CTSD|1509_calculated,395.4785,637.7299,11,p,
CSTB|1476_calculated,159.5007,636.4993,21,q,
SPINK1|6690_calculated,248.6968,634.9629,5,q,
KRT13|3860_calculated,32.2572,632.1419,17,q,
RPS25|6230_calculated,551.659,630.4072,11,q,
KRT18|3875_calculated,259.0444,624.3032,12,q,
HSPB1|3315_calculated,834.0851,614.9751,7,q,
IGLL5|100423062_calculated,245.635,607.1413,22,q,
PTMA|5757_calculated,393.3683,603.939,2,q,
LCN2|3934_calculated,106.0506,602.0634,9,q,
RPL26|6154_calculated,608.3709,599.2738,17,p,
RPS20|6224_calculated,514.6275,597.1567,8,q,
RPL13A|23521_calculated,497.9461,584.4424,19,q,
RPL12|6136_calculated,413.3544,577.4981,9,q,
GSTP1|2950_calculated,304.2538,568.2329,11,q,
S100A9|6280_calculated,48.0517,555.9566,1,q,
RPL24|6152_calculated,497.285,554.5522,3,q,
S100A10|6281_calculated,322.6477,545.3599,1,q,
HLA-A|3105_calculated,359.2686,542.4851,6,p,
Metazoa_SRP|?|38of109_calculated,827.4845,541.9784,,,
RPL30|6156_calculated,476.2387,541.0815,8,q,
CALR|811_calculated,296.0147,523.5791,19,p,13.3-
HSP90AB1|3326_calculated,423.7928,515.8278,6,p,
AF113016|?_calculated,909.7993,513.8324,,,
LGALS3BP|3959_calculated,324.0496,507.8877,17,q,
DJ439529|?_calculated,277.5626,507.3362,,,
RPS21|6227_calculated,352.4334,500.8618,20,q,
RPS3|6188_calculated,368.8298,498.9891,11,q,13.3-
RPL7A|6130_calculated,398.9206,497.4509,9,q,
RPL37|6167_calculated,407.0476,494.3716,5,p,
TFF2|7032_calculated,164.8127,492.4342,21,q,
PIGR|5284_calculated,220.7195,492.0064,1,q,31-
P4HB|5034_calculated,236.8905,478.2868,17,q,
JUP|3728_calculated,167.6693,471.7818,17,q,
IFI27|3429_calculated,232.5494,470.8596,14,q,
RPL18|6141_calculated,329.2928,469.5497,19,q,
KRT4|3851_calculated,19.1487,462.0987,12,q,
ATP5E|514_calculated,344.5774,461.0451,20,q,
PSAP|5660_calculated,463.5547,459.4008,10,q,21-
OST4|100128731_calculated,370.8864,457.7049,2,p,
RPS29|6235_calculated,437.953,455.4417,14,q,
PGA3|643834_calculated,260.5697,450.1887,11,q,
S100P|6286_calculated,125.9748,448.0706,4,p,
RPL37A|6168_calculated,380.7972,448.0153,2,q,
OAZ1|4946_calculated,353.9296,446.274,19,p,
DJ439575|?|1of2_calculated,246.2829,442.4523,,,
LGALS3|3958_calculated,271.9704,438.3967,14,q,
DM074112|?_calculated,856.7812,435.9413,,,
CD63|967_calculated,419.391,435.8195,12,q,12-
HSPA8|3312_calculated,326.5676,435.5702,11,q,
