PARTICIPANT,CLASS,GENE1,GENE2,GENE3,GENE4
5720,Tumoral (01A),10.6010,5.9175,1.1344,124.2544
5816,Tumoral (01A),8.1432,5.6451,1.1092,0.7912
6457,Tumoral (01A),2.4802,5.6656,0.9603,0.7275
6527,Tumoral (01A),4.8240,7.1408,1.7902,0.4061
6563,Tumoral (01A),6.3449,6.6899,2.0848,26.3688
7131,Tumoral (01A),2.8775,6.9105,1.5701,30.9959
7197,Tumoral (01A),16.7839,8.1753,2.4394,0.3698
7715,Tumoral (01A),17.1291,7.3194,1.9269,0.0000
7735,Normal (11A),0.0812,7.1686,0.8068,0.0188
8080,Tumoral (01A),0.0846,7.9725,2.3314,7.3760
8484,Tumoral (01A),3.3654,8.9527,3.8372,0.6708
8532,Tumoral (01A),1.0108,8.0647,2.3728,6.0087
8602,Tumoral (01A),1.3487,6.3329,1.6136,0.5885
A452,Tumoral (01A),4.9381,18.7378,4.3683,1.3763
A489,Tumoral (01A),0.6905,9.1346,3.6292,0.3435
A4G8,Tumoral (01A),0.4292,7.9028,2.9640,61.9750
A4GT,Tumoral (01A),9.3894,6.3803,2.8733,114.2159
A4H5,Tumoral (01A),1.0815,11.5860,5.9471,0.1630
A4PE,Tumoral (01A),6.4534,7.5514,3.0744,0.8259
5718,Tumoral (01A),18.5918,7.9381,1.9258,0.0988
5725,Tumoral (01A),1.1035,9.8961,1.4543,0.0690
5813,Tumoral (01A),0.7930,6.5366,1.3836,5.1152
6454,Normal (11A),0.7758,6.0398,0.9126,6.1223
6454,Tumoral (01A),2.7752,8.9368,2.5851,3.6318
6458,Normal (11A),0.8742,5.4232,1.5027,5.0228
6524,Tumoral (01A),2.4054,6.1611,1.7347,7.4250
6564,Normal (11A),10.3391,6.1577,0.7008,124.4644
7723,Tumoral (01A),2.0505,13.6006,4.8231,0.0497
7808,Tumoral (01A),3.6408,12.9214,5.1786,1.7297
7998,Tumoral (01A),0.0190,7.9527,1.9807,0.1312
8078,Tumoral (01A),2.5522,7.2166,2.3269,13.8320
A486,Tumoral (01A),22.2677,8.9054,2.7926,0.0362
A4H2,Tumoral (01A),2.3055,8.3550,2.8193,0.0247
